image,critical,high,total
ghcr.io/k8snetworkplumbingwg/whereabouts:v0.9.2,0,6,6
ghcr.io/kube-vip/kube-vip-iptables:v0.9.2,0,2,2
kubeovn/kube-ovn:v1.14.10,0,18,18
longhornio/backing-image-manager:v1.10.1,0,2,2
longhornio/csi-attacher:v4.10.0-20251030,0,0,0
longhornio/csi-node-driver-registrar:v2.15.0-20251030,0,0,0
longhornio/csi-provisioner:v5.3.0-20251030,0,0,0
longhornio/csi-resizer:v1.14.0-20251030,0,0,0
longhornio/csi-snapshotter:v8.4.0-20251030,0,0,0
longhornio/livenessprobe:v2.17.0-20251030,0,0,0
longhornio/longhorn-cli:v1.10.1,0,0,0
longhornio/longhorn-engine:v1.10.1,0,0,0
longhornio/longhorn-instance-manager:v1.10.1,0,3,3
longhornio/longhorn-manager:v1.10.1,0,0,0
longhornio/longhorn-share-manager:v1.10.1,0,1,1
longhornio/longhorn-ui:v1.10.1,0,0,0
longhornio/support-bundle-kit:v0.0.71,0,1,1
rancher/fleet-agent:v0.14.0,0,0,0
rancher/fleet:v0.14.0,0,0,0
rancher/hardened-addon-resizer:1.8.23-build20250909,0,2,2
rancher/hardened-calico:v3.30.3-build20250909,0,57,57
rancher/hardened-cluster-autoscaler:v1.10.2-build20250909,0,2,2
rancher/hardened-cni-plugins:v1.8.0-build20250909,0,40,40
rancher/hardened-coredns:v1.12.3-build20250909,0,3,3
rancher/hardened-dns-node-cache:1.26.0-build20250909,0,3,3
rancher/hardened-etcd:v3.6.4-k3s3-build20250908,0,4,4
rancher/hardened-flannel:v0.27.3-build20250901,0,2,2
rancher/hardened-k8s-metrics-server:v0.8.0-build20250909,0,2,2
rancher/hardened-kubernetes:v1.34.1-rke2r1-build20250910,0,13,13
rancher/hardened-multus-cni:v4.2.2-build20250909,0,10,10
rancher/harvester-cluster-repo:master-head,0,0,0
rancher/harvester-eventrouter:master-head,0,1,1
rancher/harvester-kubeovn-operator:v1.14.10-dev.0,0,3,3
rancher/harvester-load-balancer-webhook:master-head,0,2,2
rancher/harvester-load-balancer:master-head,0,0,0
rancher/harvester-network-controller:master-head,0,2,2
rancher/harvester-network-helper:master-head,0,2,2
rancher/harvester-network-webhook:master-head,0,2,2
rancher/harvester-networkfs-manager:main-head,0,0,0
rancher/harvester-node-disk-manager-webhook:master-head,0,0,0
rancher/harvester-node-disk-manager:master-head,0,0,0
rancher/harvester-node-manager-webhook:master-head,0,0,0
rancher/harvester-node-manager:master-head,0,0,0
rancher/harvester-pcidevices:master-head,0,1,1
rancher/harvester-seeder:main-head,0,0,0
rancher/harvester-upgrade:master-head,1,13,14
rancher/harvester-vm-import-controller:main-head,0,1,1
rancher/harvester-webhook:master-head,0,4,4
rancher/harvester:master-head,0,4,4
rancher/klipper-helm:v0.9.8-build20250709,0,9,9
rancher/klipper-lb:v0.4.13,0,0,0
rancher/kubectl:v1.29.2,0,8,8
rancher/kubectl:v1.32.3,0,2,2
rancher/kubectl:v1.33.1,0,3,3
rancher/kubectl:v1.34.0,0,2,2
rancher/kubectl:v1.34.1,0,2,2
rancher/kuberlr-kubectl:v5.0.0,0,9,9
rancher/mirrored-cluster-api-controller:v1.10.6,0,2,2
rancher/mirrored-fluent-fluent-bit:3.1.8,1,10,11
rancher/mirrored-grafana-grafana:11.5.5,0,10,10
rancher/mirrored-ingress-nginx-kube-webhook-certgen:v1.6.2,0,2,2
rancher/mirrored-kiwigrid-k8s-sidecar:1.30.0,2,5,7
rancher/mirrored-kube-logging-config-reloader:v0.0.6,0,3,3
rancher/mirrored-kube-logging-fluentd:v1.16-4.10-full,1,11,12
rancher/mirrored-kube-logging-logging-operator:4.10.0,0,2,2
rancher/mirrored-kube-state-metrics-kube-state-metrics:v2.15.0,0,4,4
rancher/mirrored-library-busybox:1.37.0,0,0,0
rancher/mirrored-library-nginx:1.27.2-alpine,1,10,11
rancher/mirrored-pause:3.6,0,0,0
rancher/mirrored-prometheus-adapter-prometheus-adapter:v0.12.0,0,2,2
rancher/mirrored-prometheus-alertmanager:v0.28.1,0,4,4
rancher/mirrored-prometheus-node-exporter:v1.9.0,0,3,3
rancher/mirrored-prometheus-operator-admission-webhook:v0.80.1,0,2,2
rancher/mirrored-prometheus-operator-prometheus-config-reloader:v0.80.1,0,2,2
rancher/mirrored-prometheus-operator-prometheus-operator:v0.80.1,0,2,2
rancher/mirrored-sig-storage-snapshot-controller:v8.2.0,0,2,2
rancher/nginx-ingress-controller:v1.12.6-hardened1,0,9,9
rancher/prom-prometheus:v3.2.1,0,4,4
rancher/rancher-agent:v2.13.0-rc3,0,3,3
rancher/rancher-webhook:v0.9.1,0,3,3
rancher/rancher:v2.13.0-rc3,0,29,29
rancher/rke2-cloud-provider:v1.33.0-rc1.0.20250905195603-857412ae5891-build20250908,0,2,2
rancher/rke2-runtime:v1.34.1-rke2r1,0,18,18
rancher/shell:v0.5.0,0,19,19
rancher/shell:v0.6.0,0,10,10
rancher/support-bundle-kit:master-head,0,1,1
rancher/system-agent-installer-rancher:v2.13.0-rc3,0,3,3
rancher/system-agent-installer-rke2:v1.34.1-rke2r1,0,0,0
rancher/system-agent:v0.3.14-suc,0,2,2
rancher/system-upgrade-controller:v0.17.0,0,2,2
registry.k8s.io/descheduler/descheduler:v0.33.0,0,3,3
registry.k8s.io/sig-storage/snapshot-controller:v8.3.0,0,3,3
registry.opensuse.org/isv/rancher/harvester/containers/v1.7/15.7/suse/sles/15.7/libguestfs-tools:1.6.3,0,0,0
registry.opensuse.org/isv/rancher/harvester/containers/v1.7/15.7/suse/sles/15.7/virt-api:1.6.3,0,0,0
registry.opensuse.org/isv/rancher/harvester/containers/v1.7/15.7/suse/sles/15.7/virt-controller:1.6.3,0,1,1
registry.opensuse.org/isv/rancher/harvester/containers/v1.7/15.7/suse/sles/15.7/virt-handler:1.6.3,0,8,8
registry.opensuse.org/isv/rancher/harvester/containers/v1.7/15.7/suse/sles/15.7/virt-launcher:1.6.3,0,4,4
registry.opensuse.org/isv/rancher/harvester/containers/v1.7/15.7/suse/sles/15.7/virt-operator:1.6.3,0,0,0
registry.suse.com/bci/bci-base:15.7,0,0,0
registry.suse.com/suse/sles/15.7/cdi-apiserver:1.62.0-150700.9.3.1,3,9,12
registry.suse.com/suse/sles/15.7/cdi-cloner:1.62.0-150700.9.3.1,3,9,12
registry.suse.com/suse/sles/15.7/cdi-controller:1.62.0-150700.9.3.1,3,9,12
registry.suse.com/suse/sles/15.7/cdi-importer:1.62.0-150700.9.3.1,3,10,13
registry.suse.com/suse/sles/15.7/cdi-operator:1.62.0-150700.9.3.1,3,9,12
registry.suse.com/suse/sles/15.7/cdi-uploadproxy:1.62.0-150700.9.3.1,3,9,12
registry.suse.com/suse/sles/15.7/cdi-uploadserver:1.62.0-150700.9.3.1,3,10,13
registry.suse.com/suse/vmdp/vmdp:2.5.5,0,0,0
