image,critical,high,total
ghcr.io/k8snetworkplumbingwg/whereabouts:v0.9.2,4,39,43
ghcr.io/kube-vip/kube-vip-iptables:v0.9.2,4,24,28
kubeovn/kube-ovn:v1.14.10,0,69,69
longhornio/backing-image-manager:v1.10.2,3,31,34
longhornio/csi-attacher:v4.10.0-20251226,0,8,8
longhornio/csi-node-driver-registrar:v2.15.0-20251226,0,7,7
longhornio/csi-provisioner:v5.3.0-20251226,0,5,5
longhornio/csi-resizer:v1.14.0-20260119,0,5,5
longhornio/csi-snapshotter:v8.4.0-20251226,0,7,7
longhornio/livenessprobe:v2.17.0-20251226,0,6,6
longhornio/longhorn-cli:v1.10.2,3,19,22
longhornio/longhorn-engine:v1.10.2,3,36,39
longhornio/longhorn-instance-manager:v1.10.2,4,37,41
longhornio/longhorn-manager:v1.10.2,3,23,26
longhornio/longhorn-manager:v1.10.2-hotfix-1,0,21,21
longhornio/longhorn-share-manager:v1.10.2,3,18,21
longhornio/longhorn-ui:v1.10.2,3,14,17
longhornio/support-bundle-kit:v0.0.79,3,19,22
rancher/fleet-agent:v0.14.3,1,6,7
rancher/fleet:v0.14.3,2,21,23
rancher/hardened-addon-resizer:1.8.23-build20260413,0,2,2
rancher/hardened-calico:v3.31.5-build20260415,0,2,2
rancher/hardened-cluster-autoscaler:v1.10.3-build20260414,0,2,2
rancher/hardened-cni-plugins:v1.9.1-build20260415,0,1,1
rancher/hardened-coredns:v1.14.2-build20260416,0,7,7
rancher/hardened-dns-node-cache:1.26.8-build20260416,0,10,10
rancher/hardened-etcd:v3.6.7-k3s1-build20260415,0,4,4
rancher/hardened-flannel:v0.28.4-build20260415,0,3,3
rancher/hardened-k8s-metrics-server:v0.8.1-build20260413,0,6,6
rancher/hardened-kubernetes:v1.34.7-rke2r1-build20260416,0,24,24
rancher/hardened-multus-cni:v4.2.4-build20260310,0,15,15
rancher/hardened-snapshot-controller:v8.5.0-build20260410,0,6,6
rancher/harvester-cluster-repo:v1.7-head,0,1,1
rancher/harvester-eventrouter:v1.7.2-rc1,0,3,3
rancher/harvester-kubeovn-operator:v1.14.10,3,22,25
rancher/harvester-load-balancer-webhook:v1.7.2-rc1,0,11,11
rancher/harvester-load-balancer:v1.7.2-rc1,0,8,8
rancher/harvester-network-controller:v1.7.2-rc1,0,8,8
rancher/harvester-network-helper:v1.7.2-rc1,0,8,8
rancher/harvester-network-webhook:v1.7.2-rc1,0,8,8
rancher/harvester-networkfs-manager:v1.7.2-rc1,0,2,2
rancher/harvester-node-disk-manager-webhook:v1.7.2-rc1,0,3,3
