image,critical,high,total
ghcr.io/k8snetworkplumbingwg/whereabouts:v0.9.2,2,39,41
ghcr.io/kube-vip/kube-vip-iptables:v0.9.2,2,24,26
kubeovn/kube-ovn:v1.14.10,0,74,74
longhornio/backing-image-manager:v1.10.2,2,22,24
longhornio/csi-attacher:v4.10.0-20251226,0,8,8
longhornio/csi-node-driver-registrar:v2.15.0-20251226,0,7,7
longhornio/csi-provisioner:v5.3.0-20251226,0,5,5
longhornio/csi-resizer:v1.14.0-20260119,0,5,5
longhornio/csi-snapshotter:v8.4.0-20251226,0,7,7
longhornio/livenessprobe:v2.17.0-20251226,0,6,6
longhornio/longhorn-cli:v1.10.2,2,16,18
longhornio/longhorn-engine:v1.10.2,4,35,39
longhornio/longhorn-instance-manager:v1.10.2,5,34,39
longhornio/longhorn-manager:v1.10.2,5,23,28
longhornio/longhorn-share-manager:v1.10.2,3,19,22
longhornio/longhorn-ui:v1.10.2,2,15,17
longhornio/support-bundle-kit:v0.0.79,2,19,21
rancher/fleet-agent:v0.14.1,1,11,12
rancher/fleet:v0.14.1,4,27,31
rancher/hardened-addon-resizer:1.8.23-build20260119,0,4,4
rancher/hardened-cluster-autoscaler:v1.10.2-build20260116,0,4,4
rancher/hardened-cni-plugins:v1.9.0-build20260116,0,59,59
rancher/hardened-coredns:v1.14.1-build20260116,0,18,18
rancher/hardened-dns-node-cache:1.26.7-build20260119,0,19,19
rancher/hardened-etcd:v3.6.7-k3s1-build20260126,0,8,8
rancher/hardened-flannel:v0.28.0-build20260119,0,7,7
rancher/hardened-k8s-metrics-server:v0.8.0-build20260116,0,8,8
rancher/hardened-kubernetes:v1.34.3-rke2r3-build20260127,0,44,44
rancher/hardened-multus-cni:v4.2.3-build20260120,0,20,20
rancher/hardened-snapshot-controller:v8.4.0-build20260108,0,7,7
rancher/harvester-cluster-repo:v1.7.1,0,12,12
rancher/harvester-eventrouter:v1.7.1,0,8,8
rancher/harvester-kubeovn-operator:v1.14.10,2,24,26
rancher/harvester-load-balancer-webhook:v1.7.1,0,14,14
rancher/harvester-load-balancer:v1.7.1,0,11,11
rancher/harvester-network-controller:v1.7.1,0,16,16
rancher/harvester-network-helper:v1.7.1,0,10,10
rancher/harvester-network-webhook:v1.7.1,0,10,10
rancher/harvester-networkfs-manager:v1.7.1,0,13,13
rancher/harvester-node-disk-manager-webhook:v1.7.1,0,10,10
rancher/harvester-node-disk-manager:v1.7.1,0,16,16
rancher/harvester-node-manager-webhook:v1.7.1,0,13,13
rancher/harvester-node-manager:v1.7.1,0,11,11
rancher/harvester-pcidevices:v1.7.1,0,14,14
rancher/harvester-seeder:v1.7.1,3,14,17
rancher/harvester-upgrade:v1.7.1,2,84,86
rancher/harvester-vm-import-controller:v1.7.1,0,19,19
rancher/harvester-webhook:v1.7.1,0,29,29
rancher/harvester:v1.7.1,0,29,29
rancher/klipper-helm:v0.9.12-build20251215,0,21,21
rancher/klipper-lb:v0.4.13,0,4,4
rancher/kubectl:v1.34.1,0,9,9
rancher/kuberlr-kubectl:v5.0.0,0,43,43
rancher/mirrored-cluster-api-controller:v1.10.6,0,12,12
rancher/mirrored-fluent-fluent-bit:3.1.8,4,26,30
rancher/mirrored-grafana-grafana:11.5.5,2,26,28
rancher/mirrored-ingress-nginx-kube-webhook-certgen:v1.6.7,0,7,7
rancher/mirrored-kiwigrid-k8s-sidecar:1.30.0,4,30,34
rancher/mirrored-kube-logging-config-reloader:v0.0.6,0,12,12
rancher/mirrored-kube-logging-fluentd:v1.16-4.10-full,8,44,52
rancher/mirrored-kube-logging-logging-operator:4.10.0,0,8,8
rancher/mirrored-kube-state-metrics-kube-state-metrics:v2.15.0,0,13,13
rancher/mirrored-library-busybox:1.37.0,0,0,0
rancher/mirrored-library-nginx:1.27.2-alpine,3,34,37
rancher/mirrored-pause:3.6,0,0,0
rancher/mirrored-prometheus-adapter-prometheus-adapter:v0.12.0,0,11,11
rancher/mirrored-prometheus-alertmanager:v0.28.1,0,20,20
rancher/mirrored-prometheus-node-exporter:v1.9.0,0,9,9
