image,release,package_name,package_version,type,vulnerability_id,severity,url,target,patched_version,mirrored,status,justification
rancher/k3s:v1.35.7-rc2-k3s1,k3s/v1.35.7-rc2,golang.org/x/net,v0.43.0,gobinary,CVE-2025-47911,MEDIUM,https://avd.aquasec.com/nvd/cve-2025-47911,bin/runc,0.45.0,false,not_affected,vulnerable_code_not_present
rancher/k3s:v1.35.7-rc2-k3s1,k3s/v1.35.7-rc2,golang.org/x/net,v0.43.0,gobinary,CVE-2025-58190,MEDIUM,https://avd.aquasec.com/nvd/cve-2025-58190,bin/runc,0.45.0,false,not_affected,vulnerable_code_not_present
rancher/k3s:v1.35.7-rc2-k3s1,k3s/v1.35.7-rc2,golang.org/x/net,v0.43.0,gobinary,CVE-2026-25680,MEDIUM,https://avd.aquasec.com/nvd/cve-2026-25680,bin/runc,0.55.0,false,not_affected,vulnerable_code_not_present
rancher/k3s:v1.35.7-rc2-k3s1,k3s/v1.35.7-rc2,golang.org/x/net,v0.43.0,gobinary,CVE-2026-25681,HIGH,https://avd.aquasec.com/nvd/cve-2026-25681,bin/runc,0.55.0,false,not_affected,vulnerable_code_not_present
rancher/k3s:v1.35.7-rc2-k3s1,k3s/v1.35.7-rc2,golang.org/x/net,v0.43.0,gobinary,CVE-2026-27136,HIGH,https://avd.aquasec.com/nvd/cve-2026-27136,bin/runc,0.55.0,false,not_affected,vulnerable_code_not_present
rancher/k3s:v1.35.7-rc2-k3s1,k3s/v1.35.7-rc2,google.golang.org/grpc,v1.72.2,gobinary,CVE-2026-33186,HIGH,https://avd.aquasec.com/nvd/cve-2026-33186,bin/k3s,1.79.3,false,affected,severity_changed_due_to_suse_cvss_score
rancher/k3s:v1.35.7-rc2-k3s1,k3s/v1.35.7-rc2,google.golang.org/grpc,v1.78.0,gobinary,CVE-2026-33186,CRITICAL,https://avd.aquasec.com/nvd/cve-2026-33186,bin/containerd-shim-runc-v2,1.79.3,false,not_affected,vulnerable_code_not_present
rancher/k3s:v1.35.7-rc2-k3s1,k3s/v1.35.7-rc2,golang.org/x/net,v0.43.0,gobinary,CVE-2026-33814,HIGH,https://avd.aquasec.com/nvd/cve-2026-33814,bin/runc,0.53.0,false,not_affected,vulnerable_code_not_present
rancher/k3s:v1.35.7-rc2-k3s1,k3s/v1.35.7-rc2,github.com/docker/docker,v25.0.15-0.20260325154711-d2dbc0547253+incompatible,gobinary,CVE-2026-33997,HIGH,https://avd.aquasec.com/nvd/cve-2026-33997,bin/k3s,29.3.1,false,affected,severity_changed_due_to_suse_cvss_score
rancher/k3s:v1.35.7-rc2-k3s1,k3s/v1.35.7-rc2,github.com/docker/docker,v25.0.15-0.20260325154711-d2dbc0547253+incompatible,gobinary,CVE-2026-34040,HIGH,https://avd.aquasec.com/nvd/cve-2026-34040,bin/k3s,29.3.1,false,affected,
rancher/k3s:v1.35.7-rc2-k3s1,k3s/v1.35.7-rc2,golang.org/x/net,v0.43.0,gobinary,CVE-2026-39821,HIGH,https://avd.aquasec.com/nvd/cve-2026-39821,bin/runc,0.55.0,false,not_affected,vulnerable_code_not_present
rancher/k3s:v1.35.7-rc2-k3s1,k3s/v1.35.7-rc2,golang.org/x/crypto,v0.47.0,gobinary,CVE-2026-39827,MEDIUM,https://avd.aquasec.com/nvd/cve-2026-39827,bin/k3s,0.52.0,false,not_affected,vulnerable_code_not_present
rancher/k3s:v1.35.7-rc2-k3s1,k3s/v1.35.7-rc2,golang.org/x/crypto,v0.47.0,gobinary,CVE-2026-39828,HIGH,https://avd.aquasec.com/nvd/cve-2026-39828,bin/k3s,0.52.0,false,not_affected,vulnerable_code_not_present
rancher/k3s:v1.35.7-rc2-k3s1,k3s/v1.35.7-rc2,golang.org/x/crypto,v0.47.0,gobinary,CVE-2026-39829,HIGH,https://avd.aquasec.com/nvd/cve-2026-39829,bin/k3s,0.52.0,false,not_affected,vulnerable_code_not_present
rancher/k3s:v1.35.7-rc2-k3s1,k3s/v1.35.7-rc2,golang.org/x/crypto,v0.47.0,gobinary,CVE-2026-39830,HIGH,https://avd.aquasec.com/nvd/cve-2026-39830,bin/k3s,0.52.0,false,not_affected,vulnerable_code_not_present
rancher/k3s:v1.35.7-rc2-k3s1,k3s/v1.35.7-rc2,golang.org/x/crypto,v0.47.0,gobinary,CVE-2026-39831,HIGH,https://avd.aquasec.com/nvd/cve-2026-39831,bin/k3s,0.52.0,false,not_affected,vulnerable_code_not_present
rancher/k3s:v1.35.7-rc2-k3s1,k3s/v1.35.7-rc2,golang.org/x/crypto,v0.47.0,gobinary,CVE-2026-39832,HIGH,https://avd.aquasec.com/nvd/cve-2026-39832,bin/k3s,0.52.0,false,not_affected,vulnerable_code_not_present
rancher/k3s:v1.35.7-rc2-k3s1,k3s/v1.35.7-rc2,golang.org/x/crypto,v0.47.0,gobinary,CVE-2026-39833,MEDIUM,https://avd.aquasec.com/nvd/cve-2026-39833,bin/k3s,0.52.0,false,not_affected,vulnerable_code_not_present
rancher/k3s:v1.35.7-rc2-k3s1,k3s/v1.35.7-rc2,golang.org/x/crypto,v0.47.0,gobinary,CVE-2026-39834,MEDIUM,https://avd.aquasec.com/nvd/cve-2026-39834,bin/k3s,0.52.0,false,not_affected,vulnerable_code_not_present
rancher/k3s:v1.35.7-rc2-k3s1,k3s/v1.35.7-rc2,golang.org/x/crypto,v0.47.0,gobinary,CVE-2026-39835,HIGH,https://avd.aquasec.com/nvd/cve-2026-39835,bin/k3s,0.52.0,false,not_affected,vulnerable_code_not_present
rancher/k3s:v1.35.7-rc2-k3s1,k3s/v1.35.7-rc2,github.com/docker/docker,v25.0.15-0.20260325154711-d2dbc0547253+incompatible,gobinary,CVE-2026-41567,HIGH,https://avd.aquasec.com/nvd/cve-2026-41567,bin/k3s,,false,not_affected,vulnerable_code_not_present
rancher/k3s:v1.35.7-rc2-k3s1,k3s/v1.35.7-rc2,github.com/docker/docker,v25.0.15-0.20260325154711-d2dbc0547253+incompatible,gobinary,CVE-2026-42306,HIGH,https://avd.aquasec.com/nvd/cve-2026-42306,bin/k3s,,false,not_affected,vulnerable_code_not_present
rancher/k3s:v1.35.7-rc2-k3s1,k3s/v1.35.7-rc2,golang.org/x/net,v0.43.0,gobinary,CVE-2026-42502,MEDIUM,https://avd.aquasec.com/nvd/cve-2026-42502,bin/runc,0.55.0,false,not_affected,vulnerable_code_not_present
