image,release,package_name,package_version,type,vulnerability_id,severity,url,target,patched_version,mirrored,status,justification
longhornio/backing-image-manager:v1.12.x-head,longhorn/v1.12-head,stdlib,v1.26.5,gobinary,CVE-2026-33818,HIGH,https://avd.aquasec.com/nvd/cve-2026-33818,usr/local/bin/backing-image-manager,"1.25.13, 1.26.6, 1.27.0-rc.3",false,affected,
longhornio/backing-image-manager:v1.12.x-head,longhorn/v1.12-head,stdlib,v1.26.5,gobinary,CVE-2026-39821,HIGH,https://avd.aquasec.com/nvd/cve-2026-39821,usr/local/bin/backing-image-manager,"1.25.13, 1.26.6, 1.27.0-rc.3",false,affected,
longhornio/backing-image-manager:v1.12.x-head,longhorn/v1.12-head,stdlib,v1.26.5,gobinary,CVE-2026-56853,HIGH,https://avd.aquasec.com/nvd/cve-2026-56853,usr/local/bin/backing-image-manager,"1.25.13, 1.26.6, 1.27.0-rc.3",false,affected,
longhornio/backing-image-manager:v1.12.x-head,longhorn/v1.12-head,stdlib,v1.26.5,gobinary,CVE-2026-56859,HIGH,https://avd.aquasec.com/nvd/cve-2026-56859,usr/local/bin/backing-image-manager,"1.25.13, 1.26.6, 1.27.0-rc.3",false,affected,
longhornio/backing-image-manager:v1.12.x-head,longhorn/v1.12-head,stdlib,v1.26.5,gobinary,CVE-2026-56862,HIGH,https://avd.aquasec.com/nvd/cve-2026-56862,usr/local/bin/backing-image-manager,"1.25.13, 1.26.6, 1.27.0-rc.3",false,affected,
longhornio/backing-image-manager:v1.12.x-head,longhorn/v1.12-head,libcurl4,8.14.1-150700.7.20.1,sles,SUSE-SU-2026:3798-1,MEDIUM,,longhornio/backing-image-manager:v1.12.x-head (sles 15.7),8.14.1-150700.7.23.1,false,not_affected,vulnerable_code_not_in_execute_path
longhornio/csi-attacher:v4.12.0,longhorn/v1.12-head,golang.org/x/net,v0.54.0,gobinary,CVE-2026-25680,MEDIUM,https://avd.aquasec.com/nvd/cve-2026-25680,csi-attacher,0.55.0,false,not_affected,vulnerable_code_not_present
longhornio/csi-attacher:v4.12.0,longhorn/v1.12-head,golang.org/x/net,v0.54.0,gobinary,CVE-2026-25681,HIGH,https://avd.aquasec.com/nvd/cve-2026-25681,csi-attacher,0.55.0,false,not_affected,vulnerable_code_not_present
longhornio/csi-attacher:v4.12.0,longhorn/v1.12-head,golang.org/x/net,v0.54.0,gobinary,CVE-2026-27136,HIGH,https://avd.aquasec.com/nvd/cve-2026-27136,csi-attacher,0.55.0,false,not_affected,vulnerable_code_not_present
longhornio/csi-attacher:v4.12.0,longhorn/v1.12-head,stdlib,v1.26.3,gobinary,CVE-2026-27145,HIGH,https://avd.aquasec.com/nvd/cve-2026-27145,csi-attacher,"1.25.11, 1.26.4",false,not_affected,vulnerable_code_not_in_execute_path
longhornio/csi-attacher:v4.12.0,longhorn/v1.12-head,stdlib,v1.26.3,gobinary,CVE-2026-33818,HIGH,https://avd.aquasec.com/nvd/cve-2026-33818,csi-attacher,"1.25.13, 1.26.6, 1.27.0-rc.3",false,affected,
longhornio/csi-attacher:v4.12.0,longhorn/v1.12-head,golang.org/x/net,v0.54.0,gobinary,CVE-2026-39821,HIGH,https://avd.aquasec.com/nvd/cve-2026-39821,csi-attacher,0.55.0,false,affected,
longhornio/csi-attacher:v4.12.0,longhorn/v1.12-head,stdlib,v1.26.3,gobinary,CVE-2026-39821,HIGH,https://avd.aquasec.com/nvd/cve-2026-39821,csi-attacher,"1.25.13, 1.26.6, 1.27.0-rc.3",false,affected,
longhornio/csi-attacher:v4.12.0,longhorn/v1.12-head,stdlib,v1.26.3,gobinary,CVE-2026-39822,HIGH,https://avd.aquasec.com/nvd/cve-2026-39822,csi-attacher,"1.25.12, 1.26.5, 1.27.0-rc.2",false,not_affected,vulnerable_code_not_in_execute_path
