image,release,package_name,package_version,type,vulnerability_id,severity,url,target,patched_version,mirrored,status,justification
longhornio/csi-attacher:v4.9.0,longhorn/v1.8-head,stdlib,v1.24.2,gobinary,CVE-2025-22874,HIGH,https://avd.aquasec.com/nvd/cve-2025-22874,csi-attacher,1.24.4,false,affected,
longhornio/csi-node-driver-registrar:v2.14.0,longhorn/v1.8-head,stdlib,v1.24.2,gobinary,CVE-2025-22874,HIGH,https://avd.aquasec.com/nvd/cve-2025-22874,csi-node-driver-registrar,1.24.4,false,affected,
longhornio/csi-provisioner:v5.3.0,longhorn/v1.8-head,stdlib,v1.24.2,gobinary,CVE-2025-22874,HIGH,https://avd.aquasec.com/nvd/cve-2025-22874,csi-provisioner,1.24.4,false,affected,
longhornio/csi-resizer:v1.13.2,longhorn/v1.8-head,golang.org/x/net,v0.34.0,gobinary,CVE-2025-22870,MEDIUM,https://avd.aquasec.com/nvd/cve-2025-22870,csi-resizer,0.36.0,false,not_affected,vulnerable_code_not_present
longhornio/csi-resizer:v1.13.2,longhorn/v1.8-head,golang.org/x/net,v0.34.0,gobinary,CVE-2025-22872,MEDIUM,https://avd.aquasec.com/nvd/cve-2025-22872,csi-resizer,0.38.0,false,not_affected,vulnerable_code_not_present
longhornio/csi-snapshotter:v8.2.0,longhorn/v1.8-head,golang.org/x/net,v0.31.0,gobinary,CVE-2025-22870,MEDIUM,https://avd.aquasec.com/nvd/cve-2025-22870,csi-snapshotter,0.36.0,false,not_affected,vulnerable_code_not_present
longhornio/csi-snapshotter:v8.2.0,longhorn/v1.8-head,golang.org/x/net,v0.31.0,gobinary,CVE-2025-22872,MEDIUM,https://avd.aquasec.com/nvd/cve-2025-22872,csi-snapshotter,0.38.0,false,not_affected,vulnerable_code_not_present
longhornio/livenessprobe:v2.16.0,longhorn/v1.8-head,stdlib,v1.24.2,gobinary,CVE-2025-22874,HIGH,https://avd.aquasec.com/nvd/cve-2025-22874,livenessprobe,1.24.4,false,affected,
longhornio/longhorn-cli:v1.8.x-head,longhorn/v1.8-head,golang.org/x/net,v0.34.0,gobinary,CVE-2025-22870,MEDIUM,https://avd.aquasec.com/nvd/cve-2025-22870,usr/local/bin/longhornctl,0.36.0,false,not_affected,vulnerable_code_not_in_execute_path
longhornio/longhorn-cli:v1.8.x-head,longhorn/v1.8-head,golang.org/x/net,v0.34.0,gobinary,CVE-2025-22872,MEDIUM,https://avd.aquasec.com/nvd/cve-2025-22872,usr/local/bin/longhornctl,0.38.0,false,not_affected,vulnerable_code_not_in_execute_path
longhornio/longhorn-cli:v1.8.x-head,longhorn/v1.8-head,golang.org/x/net,v0.34.0,gobinary,CVE-2025-22870,MEDIUM,https://avd.aquasec.com/nvd/cve-2025-22870,usr/local/bin/longhornctl-local,0.36.0,false,not_affected,vulnerable_code_not_in_execute_path
longhornio/longhorn-cli:v1.8.x-head,longhorn/v1.8-head,golang.org/x/net,v0.34.0,gobinary,CVE-2025-22872,MEDIUM,https://avd.aquasec.com/nvd/cve-2025-22872,usr/local/bin/longhornctl-local,0.38.0,false,not_affected,vulnerable_code_not_in_execute_path
longhornio/longhorn-instance-manager:v1.8.x-head,longhorn/v1.8-head,libexpat1,2.7.1-lp156.231.1,sles,SUSE-SU-2025:1201-1,HIGH,,longhornio/longhorn-instance-manager:v1.8.x-head (sles 15.6),2.7.1-150400.3.28.1,false,affected,
longhornio/longhorn-share-manager:v1.8.x-head,longhorn/v1.8-head,golang.org/x/net,v0.33.0,gobinary,CVE-2025-22870,MEDIUM,https://avd.aquasec.com/nvd/cve-2025-22870,longhorn-share-manager,0.36.0,false,not_affected,vulnerable_code_not_present
longhornio/longhorn-share-manager:v1.8.x-head,longhorn/v1.8-head,golang.org/x/net,v0.33.0,gobinary,CVE-2025-22872,MEDIUM,https://avd.aquasec.com/nvd/cve-2025-22872,longhorn-share-manager,0.38.0,false,not_affected,vulnerable_code_not_present
longhornio/support-bundle-kit:v0.0.58,longhorn/v1.8-head,stdlib,v1.24.3,gobinary,CVE-2025-22874,HIGH,https://avd.aquasec.com/nvd/cve-2025-22874,usr/bin/yq,1.24.4,false,affected,
