image,critical,high,total
longhornio/backing-image-manager:v1.9.2,3,29,32
longhornio/csi-attacher:v4.9.0-20250709,0,5,5
longhornio/csi-node-driver-registrar:v2.14.0-20250709,0,5,5
longhornio/csi-provisioner:v5.3.0-20250709,0,5,5
longhornio/csi-resizer:v1.14.0-20250709,0,5,5
longhornio/csi-snapshotter:v8.3.0-20250709,0,5,5
longhornio/livenessprobe:v2.16.0-20250709,0,5,5
longhornio/longhorn-cli:v1.9.2,3,17,20
longhornio/longhorn-engine:v1.9.2,5,30,35
longhornio/longhorn-instance-manager:v1.9.2,6,32,38
longhornio/longhorn-manager:v1.9.2,5,16,21
longhornio/longhorn-share-manager:v1.9.2,3,14,17
longhornio/longhorn-ui:v1.9.2,3,11,14
longhornio/support-bundle-kit:v0.0.69,3,15,18
