image,release,package_name,package_version,type,vulnerability_id,severity,url,target,patched_version,mirrored,status,justification
neuvector/controller:5.6.2-rc2,neuvector/v5.6-rc,golang.org/x/crypto,v0.53.0,gobinary,CVE-2026-56854,CRITICAL,https://avd.aquasec.com/nvd/cve-2026-56854,usr/local/bin/consul,0.55.0,false,not_affected,vulnerable_code_not_in_execute_path
neuvector/controller:5.6.2-rc2,neuvector/v5.6-rc,golang.org/x/crypto,v0.53.0,gobinary,CVE-2026-56854,HIGH,https://avd.aquasec.com/nvd/cve-2026-56854,usr/local/bin/opa,0.55.0,false,affected,severity_changed_due_to_suse_cvss_score
neuvector/controller:5.6.2-rc2,neuvector/v5.6-rc,google.golang.org/grpc,v1.82.1,gobinary,CVE-2026-84304,HIGH,https://avd.aquasec.com/nvd/cve-2026-84304,usr/local/bin/consul,1.83.1,false,affected,
neuvector/controller:5.6.2-rc2,neuvector/v5.6-rc,google.golang.org/grpc,v1.82.1,gobinary,CVE-2026-84304,HIGH,https://avd.aquasec.com/nvd/cve-2026-84304,usr/local/bin/opa,1.83.1,false,affected,
neuvector/enforcer:5.6.2-rc2,neuvector/v5.6-rc,stdlib,v1.25.12,gobinary,CVE-2026-33818,HIGH,https://avd.aquasec.com/nvd/cve-2026-33818,usr/bin/yq,"1.25.13, 1.26.6, 1.27.0-rc.3",false,not_affected,vulnerable_code_not_in_execute_path
neuvector/enforcer:5.6.2-rc2,neuvector/v5.6-rc,stdlib,v1.25.12,gobinary,CVE-2026-39821,HIGH,https://avd.aquasec.com/nvd/cve-2026-39821,usr/bin/yq,"1.25.13, 1.26.6, 1.27.0-rc.3",false,not_affected,vulnerable_code_not_in_execute_path
neuvector/enforcer:5.6.2-rc2,neuvector/v5.6-rc,golang.org/x/net,v0.55.0,gobinary,CVE-2026-46600,HIGH,https://avd.aquasec.com/nvd/cve-2026-46600,usr/bin/yq,0.56.0,false,not_affected,vulnerable_code_not_present
neuvector/enforcer:5.6.2-rc2,neuvector/v5.6-rc,stdlib,v1.25.12,gobinary,CVE-2026-56853,HIGH,https://avd.aquasec.com/nvd/cve-2026-56853,usr/bin/yq,"1.25.13, 1.26.6, 1.27.0-rc.3",false,not_affected,vulnerable_code_not_in_execute_path
neuvector/enforcer:5.6.2-rc2,neuvector/v5.6-rc,golang.org/x/crypto,v0.53.0,gobinary,CVE-2026-56854,CRITICAL,https://avd.aquasec.com/nvd/cve-2026-56854,usr/local/bin/consul,0.55.0,false,not_affected,vulnerable_code_not_in_execute_path
neuvector/enforcer:5.6.2-rc2,neuvector/v5.6-rc,stdlib,v1.25.12,gobinary,CVE-2026-56858,HIGH,https://avd.aquasec.com/nvd/cve-2026-56858,usr/bin/yq,"1.25.13, 1.26.6, 1.27.0-rc.3",false,not_affected,vulnerable_code_not_present
neuvector/enforcer:5.6.2-rc2,neuvector/v5.6-rc,stdlib,v1.25.12,gobinary,CVE-2026-56859,HIGH,https://avd.aquasec.com/nvd/cve-2026-56859,usr/bin/yq,"1.25.13, 1.26.6, 1.27.0-rc.3",false,affected,
neuvector/enforcer:5.6.2-rc2,neuvector/v5.6-rc,stdlib,v1.25.12,gobinary,CVE-2026-56860,HIGH,https://avd.aquasec.com/nvd/cve-2026-56860,usr/bin/yq,"1.25.13, 1.26.6, 1.27.0-rc.3",false,not_affected,vulnerable_code_not_in_execute_path
neuvector/enforcer:5.6.2-rc2,neuvector/v5.6-rc,stdlib,v1.25.12,gobinary,CVE-2026-56862,HIGH,https://avd.aquasec.com/nvd/cve-2026-56862,usr/bin/yq,"1.25.13, 1.26.6, 1.27.0-rc.3",false,not_affected,vulnerable_code_not_in_execute_path
neuvector/enforcer:5.6.2-rc2,neuvector/v5.6-rc,google.golang.org/grpc,v1.82.1,gobinary,CVE-2026-84304,HIGH,https://avd.aquasec.com/nvd/cve-2026-84304,usr/local/bin/consul,1.83.1,false,affected,
neuvector/enforcer:5.6.2-rc2,neuvector/v5.6-rc,yq,4.53.3-6.1,sles,SUSE-SU-2026:3327-1,HIGH,,neuvector/enforcer:5.6.2-rc2 (sles 15.7),4.53.3-150500.3.12.1,false,not_affected,vulnerable_code_not_in_execute_path
