image,release,package_name,package_version,type,vulnerability_id,severity,url,target,patched_version,mirrored,status,justification
registry.rancher.com/suse-observability/container-tools:1.8.6-so2,observability-agent/v1.3.46-pre,glibc,2.38-150600.14.46.1,sles,SUSE-SU-2026:2231-1,HIGH,,registry.rancher.com/suse-observability/container-tools:1.8.6-so2 (sles 15.7),2.38-150600.14.49.1,false,affected,
registry.rancher.com/suse-observability/container-tools:1.8.6-so2,observability-agent/v1.3.46-pre,stdlib,v1.26.3,gobinary,CVE-2026-42504,HIGH,https://avd.aquasec.com/nvd/cve-2026-42504,usr/local/bin/kubectl,"1.25.11, 1.26.4",false,not_affected,vulnerable_code_not_in_execute_path
registry.rancher.com/suse-observability/generic-sidecar-injector:0522e5e9-62-release,observability-agent/v1.3.46-pre,glibc,2.38-150600.14.46.1,sles,SUSE-SU-2026:2231-1,HIGH,,registry.rancher.com/suse-observability/generic-sidecar-injector:0522e5e9-62-release (sles 15.7),2.38-150600.14.49.1,false,affected,
registry.rancher.com/suse-observability/generic-sidecar-injector:0522e5e9-62-release,observability-agent/v1.3.46-pre,stdlib,v1.26.3,gobinary,CVE-2026-42504,HIGH,https://avd.aquasec.com/nvd/cve-2026-42504,sidecarinjector,"1.25.11, 1.26.4",false,not_affected,vulnerable_code_not_in_execute_path
registry.rancher.com/suse-observability/http-header-injector-proxy-init:9c58e521-574-release,observability-agent/v1.3.46-pre,glibc,2.38-150600.14.46.1,sles,SUSE-SU-2026:2231-1,HIGH,,registry.rancher.com/suse-observability/http-header-injector-proxy-init:9c58e521-574-release (sles 15.7),2.38-150600.14.49.1,false,affected,
registry.rancher.com/suse-observability/http-header-injector-proxy:9c58e521-574-release,observability-agent/v1.3.46-pre,glibc,2.38-150600.14.46.1,sles,SUSE-SU-2026:2231-1,HIGH,,registry.rancher.com/suse-observability/http-header-injector-proxy:9c58e521-574-release (sles 15.7),2.38-150600.14.49.1,false,affected,
registry.rancher.com/suse-observability/promtail:3.6.10-so2,observability-agent/v1.3.46-pre,glibc,2.38-150600.14.46.1,sles,SUSE-SU-2026:2231-1,HIGH,,registry.rancher.com/suse-observability/promtail:3.6.10-so2 (sles 15.7),2.38-150600.14.49.1,false,affected,
registry.rancher.com/suse-observability/stackstate-k8s-agent:1d2c61e8,observability-agent/v1.3.46-pre,glibc,2.38-150600.14.46.1,sles,SUSE-SU-2026:2231-1,HIGH,,registry.rancher.com/suse-observability/stackstate-k8s-agent:1d2c61e8 (sles 15.7),2.38-150600.14.49.1,false,affected,
registry.rancher.com/suse-observability/stackstate-k8s-cluster-agent:1d2c61e8,observability-agent/v1.3.46-pre,glibc,2.38-150600.14.46.1,sles,SUSE-SU-2026:2231-1,HIGH,,registry.rancher.com/suse-observability/stackstate-k8s-cluster-agent:1d2c61e8 (sles 15.7),2.38-150600.14.49.1,false,affected,
registry.rancher.com/suse-observability/stackstate-k8s-process-agent:f9ba81a8,observability-agent/v1.3.46-pre,glibc,2.38-150600.14.46.1,sles,SUSE-SU-2026:2231-1,HIGH,,registry.rancher.com/suse-observability/stackstate-k8s-process-agent:f9ba81a8 (sles 15.7),2.38-150600.14.49.1,false,affected,
registry.rancher.com/suse-observability/stackstate-k8s-process-agent:f9ba81a8,observability-agent/v1.3.46-pre,stdlib,v1.26.3,gobinary,CVE-2026-42504,HIGH,https://avd.aquasec.com/nvd/cve-2026-42504,opt/stackstate-agent/bin/agent/process-agent,"1.25.11, 1.26.4",false,not_affected,vulnerable_code_not_in_execute_path
