image,critical,high,total
registry.rancher.com/suse-observability/clickhouse-backup:2.7.2-so7,0,2,2
registry.rancher.com/suse-observability/clickhouse:26.5.1-so5,0,2,2
registry.rancher.com/suse-observability/container-tools:1.8.6-so16,0,2,2
registry.rancher.com/suse-observability/contrib-stackpacks:20260721144515-main-838a6b4,0,0,0
registry.rancher.com/suse-observability/elasticsearch-exporter:1.10.0-so11,0,0,0
registry.rancher.com/suse-observability/elasticsearch:8.19.16-so8,0,2,2
registry.rancher.com/suse-observability/envoy:1.38.3-so2,0,0,0
registry.rancher.com/suse-observability/hadoop:3.5.0-so10,0,4,4
registry.rancher.com/suse-observability/hbase-master:2.5-8.3.0,0,5,5
registry.rancher.com/suse-observability/hbase-regionserver:2.5-8.3.0,0,5,5
registry.rancher.com/suse-observability/jmx-exporter:0.20.0-so8,0,4,4
registry.rancher.com/suse-observability/kafka:3.9.2-so14,0,2,2
registry.rancher.com/suse-observability/kafkaup-operator:0.0.13,0,0,0
registry.rancher.com/suse-observability/kubernetes-rbac-agent:4ec35439-1023-release,0,0,0
registry.rancher.com/suse-observability/nginx-prometheus-exporter:1.5.1-so11,0,0,0
registry.rancher.com/suse-observability/s3proxy:3.2.0-so7,0,4,4
registry.rancher.com/suse-observability/spotlight:5.2.0-snapshot.215,0,7,7
registry.rancher.com/suse-observability/stackgraph-console:2.5-8.3.0,0,4,4
registry.rancher.com/suse-observability/stackgraph-hbase:2.5-8.3.0,0,5,5
registry.rancher.com/suse-observability/stackpacks:20260721142410-master-d600e27-prime-selfhosted,0,0,0
registry.rancher.com/suse-observability/stackstate-correlate:2.10.3-pre.77,0,5,5
registry.rancher.com/suse-observability/stackstate-kafka-to-es:2.10.3-pre.77,0,5,5
registry.rancher.com/suse-observability/stackstate-receiver:2.10.3-pre.77,0,5,5
registry.rancher.com/suse-observability/stackstate-server:2.10.3-pre.77-2.5,0,6,6
registry.rancher.com/suse-observability/stackstate-ui:2.10.3-pre.77,0,6,6
registry.rancher.com/suse-observability/sts-opentelemetry-collector:v0.0.52,0,0,0
registry.rancher.com/suse-observability/suse-observability-borg:20260723070847-ff93fb37,0,0,0
registry.rancher.com/suse-observability/suse-observability-mcp:20260723042754-6608c5f9,0,0,0
registry.rancher.com/suse-observability/suse-stackpacks:20260720124210-main-223827d,0,0,0
registry.rancher.com/suse-observability/tephra-server:2.5-8.3.0,0,4,4
registry.rancher.com/suse-observability/victoria-metrics:1.144.0-so10,0,0,0
registry.rancher.com/suse-observability/vmagent:1.144.0-so10,0,0,0
registry.rancher.com/suse-observability/vmbackup:1.144.0-so12,0,2,2
registry.rancher.com/suse-observability/vmrestore:1.144.0-so11,0,0,0
registry.rancher.com/suse-observability/wait:1.0.12-so8,0,0,0
registry.rancher.com/suse-observability/workload-observer:40b2a4b2-1022-release,0,0,0
registry.rancher.com/suse-observability/zookeeper:3.9.5-so17,0,3,3
