image,critical,high,total
registry.rancher.com/suse-observability/clickhouse-backup:2.6.39-8b7e3abd-125,0,8,8
registry.rancher.com/suse-observability/clickhouse:25.9.5-12c27e27-155,0,0,0
registry.rancher.com/suse-observability/container-tools:1.8.3-610,0,16,16
registry.rancher.com/suse-observability/elasticsearch-exporter:v1.8.0-32d1aeed-154,0,5,5
registry.rancher.com/suse-observability/elasticsearch:8.19.4-8eb5c88d-203,0,14,14
registry.rancher.com/suse-observability/envoy:v1.31.1-520edf5e-161,0,0,0
registry.rancher.com/suse-observability/hadoop:3.4.2-java21-8-27156f06-354,0,14,14
registry.rancher.com/suse-observability/hbase-master:2.5-7.13.18,0,19,19
registry.rancher.com/suse-observability/hbase-regionserver:2.5-7.13.18,0,19,19
registry.rancher.com/suse-observability/jmx-exporter:0.20.0-59972f41-263,0,6,6
registry.rancher.com/suse-observability/kafka:3.9.1-9dbceaa9-262,0,13,13
registry.rancher.com/suse-observability/kafkaup-operator:0.0.6,0,5,5
registry.rancher.com/suse-observability/kubernetes-rbac-agent:13b1a255-590,0,0,0
registry.rancher.com/suse-observability/minio:RELEASE.2025-11-19T12-41-50Z-58a322fd-180,0,6,6
registry.rancher.com/suse-observability/nginx-prometheus-exporter:1.5.1-65df9700-71,0,3,3
registry.rancher.com/suse-observability/spotlight:5.2.0-snapshot.179,3,25,28
registry.rancher.com/suse-observability/stackgraph-console:2.5-7.13.18,0,22,22
registry.rancher.com/suse-observability/stackgraph-hbase:2.5-7.13.18,0,19,19
registry.rancher.com/suse-observability/stackpacks:20260227100514-master-916d9dc-prime-selfhosted,0,0,0
registry.rancher.com/suse-observability/stackstate-correlate:2.8.0,0,15,15
registry.rancher.com/suse-observability/stackstate-kafka-to-es:2.8.0,0,15,15
registry.rancher.com/suse-observability/stackstate-receiver:2.8.0,0,15,15
registry.rancher.com/suse-observability/stackstate-server:2.8.0-2.5,0,27,27
registry.rancher.com/suse-observability/stackstate-ui:2.8.0,1,0,1
registry.rancher.com/suse-observability/sts-opentelemetry-collector:v0.0.25,0,2,2
registry.rancher.com/suse-observability/tephra-server:2.5-7.13.18,0,19,19
registry.rancher.com/suse-observability/victoria-metrics:v1.109.0-614527d8-140,0,5,5
registry.rancher.com/suse-observability/vmagent:v1.109.0-305c94e0-133,0,5,5
registry.rancher.com/suse-observability/vmbackup:v1.109.0-6e768a00-50,0,17,17
registry.rancher.com/suse-observability/vmrestore:v1.109.0-3c122dc6-37,0,5,5
registry.rancher.com/suse-observability/wait:1.0.12-ee4bfadf-180,0,0,0
registry.rancher.com/suse-observability/workload-observer:f40221cf-80,0,0,0
registry.rancher.com/suse-observability/zookeeper:3.9.3-33ea3d15-267,0,11,11
