image,release,package_name,package_version,type,vulnerability_id,severity,url,target,patched_version,mirrored,status,justification
registry.suse.com/rancher/rancher-ai-agent:v1.0.2,rancher-ai/v1.0.2,glibc,2.38-150600.14.46.1,sles,SUSE-SU-2026:2231-1,HIGH,,registry.suse.com/rancher/rancher-ai-agent:v1.0.2 (sles 15.7),2.38-150600.14.49.1,false,affected,
registry.suse.com/rancher/rancher-ai-agent:v1.0.2,rancher-ai/v1.0.2,liblzma5,5.4.1-150600.3.3.1,sles,SUSE-SU-2026:2051-1,HIGH,,registry.suse.com/rancher/rancher-ai-agent:v1.0.2 (sles 15.7),5.4.1-150600.3.6.1,false,affected,
registry.suse.com/rancher/rancher-ai-agent:v1.0.2,rancher-ai/v1.0.2,libopenssl3,3.2.3-150700.5.31.1,sles,SUSE-SU-2026:2648-1,HIGH,,registry.suse.com/rancher/rancher-ai-agent:v1.0.2 (sles 15.7),3.2.3-150700.5.36.1,false,affected,
registry.suse.com/rancher/rancher-ai-agent:v1.0.2,rancher-ai/v1.0.2,libpython3_13-1_0,3.13.13-150700.4.45.1,sles,SUSE-SU-2026:2464-1,HIGH,,registry.suse.com/rancher/rancher-ai-agent:v1.0.2 (sles 15.7),3.13.13-150700.4.50.1,false,affected,
registry.suse.com/rancher/rancher-ai-agent:v1.0.2,rancher-ai/v1.0.2,libsqlite3-0,3.51.3-150000.3.39.1,sles,SUSE-SU-2026:2528-1,HIGH,,registry.suse.com/rancher/rancher-ai-agent:v1.0.2 (sles 15.7),3.53.2-150000.3.42.1,false,affected,
registry.suse.com/rancher/rancher-ai-agent:v1.0.2,rancher-ai/v1.0.2,openssl-3,3.2.3-150700.5.31.1,sles,SUSE-SU-2026:2648-1,HIGH,,registry.suse.com/rancher/rancher-ai-agent:v1.0.2 (sles 15.7),3.2.3-150700.5.36.1,false,affected,
registry.suse.com/rancher/rancher-ai-agent:v1.0.2,rancher-ai/v1.0.2,python313,3.13.13-150700.4.45.1,sles,SUSE-SU-2026:2464-1,HIGH,,registry.suse.com/rancher/rancher-ai-agent:v1.0.2 (sles 15.7),3.13.13-150700.4.50.1,false,not_affected,vulnerable_code_not_in_execute_path
registry.suse.com/rancher/rancher-ai-agent:v1.0.2,rancher-ai/v1.0.2,python313-base,3.13.13-150700.4.45.1,sles,SUSE-SU-2026:2464-1,HIGH,,registry.suse.com/rancher/rancher-ai-agent:v1.0.2 (sles 15.7),3.13.13-150700.4.50.1,false,not_affected,vulnerable_code_not_in_execute_path
registry.suse.com/rancher/rancher-ai-agent:v1.0.2,rancher-ai/v1.0.2,PyJWT,2.12.1,python-pkg,CVE-2026-48526,HIGH,https://avd.aquasec.com/nvd/cve-2026-48526,Python,2.13.0,false,affected,
registry.suse.com/rancher/rancher-ai-agent:v1.0.2,rancher-ai/v1.0.2,chromadb,1.5.9,python-pkg,CVE-2026-45829,CRITICAL,https://avd.aquasec.com/nvd/cve-2026-45829,Python,,false,affected,
registry.suse.com/rancher/rancher-ai-agent:v1.0.2,rancher-ai/v1.0.2,cryptography,48.0.0,python-pkg,GHSA-537c-gmf6-5ccf,HIGH,https://github.com/advisories/GHSA-537c-gmf6-5ccf,Python,48.0.1,false,affected,
registry.suse.com/rancher/rancher-ai-agent:v1.0.2,rancher-ai/v1.0.2,fastmcp,3.1.0,python-pkg,CVE-2026-32871,CRITICAL,https://avd.aquasec.com/nvd/cve-2026-32871,Python,3.2.0,false,affected,
registry.suse.com/rancher/rancher-ai-agent:v1.0.2,rancher-ai/v1.0.2,fastmcp,3.1.0,python-pkg,CVE-2026-27124,HIGH,https://avd.aquasec.com/nvd/cve-2026-27124,Python,3.2.0,false,affected,
registry.suse.com/rancher/rancher-ai-agent:v1.0.2,rancher-ai/v1.0.2,joserfc,1.6.5,python-pkg,CVE-2026-49852,HIGH,https://avd.aquasec.com/nvd/cve-2026-49852,Python,1.6.8,false,affected,
registry.suse.com/rancher/rancher-ai-agent:v1.0.2,rancher-ai/v1.0.2,langchain-classic,1.0.3,python-pkg,CVE-2026-45134,HIGH,https://avd.aquasec.com/nvd/cve-2026-45134,Python,1.0.7,false,affected,
registry.suse.com/rancher/rancher-ai-agent:v1.0.2,rancher-ai/v1.0.2,langsmith,0.8.5,python-pkg,GHSA-f4xh-w4cj-qxq8,HIGH,https://github.com/advisories/GHSA-f4xh-w4cj-qxq8,Python,0.8.18,false,affected,
