image,critical,high,total
rancher/aks-operator:v1.14.6-rc.1,0,0,0
rancher/ali-operator:v1.14.5-rc.1,0,0,0
rancher/appco-kubernetes-cluster-autoscaler:1.35.0-4.1,1,40,41
rancher/azureserviceoperator:v2.13.0,1,43,44
rancher/backup-restore-operator:v10.0.10-rc.3,0,2,2
rancher/charts/appco-kubernetes-cluster-autoscaler:9.50.1,0,0,0
rancher/charts/rancher-ali-operator-crd:109.5.0_up1.14.5-rc.1,0,0,0
rancher/charts/rancher-ali-operator:109.5.0_up1.14.5-rc.1,0,0,0
rancher/charts/rancher-turtles-providers:109.0.6_up0.26.6-rc.0,0,0,0
rancher/cluster-api-addon-provider-fleet:v0.14.1,2,23,25
rancher/cluster-api-aws-controller:v2.11.1,0,40,40
rancher/cluster-api-azure-controller:v1.22.0,1,42,43
rancher/cluster-api-controller:v1.12.7,0,12,12
rancher/cluster-api-gcp-controller:v1.11.1,1,42,43
rancher/cluster-api-provider-rke2-bootstrap:v0.24.4,1,10,11
rancher/cluster-api-provider-rke2-controlplane:v0.24.4,1,10,11
rancher/cluster-api-vsphere-controller:v1.15.2,1,26,27
rancher/compliance-operator:v1.4.7-rc.1,0,0,0
rancher/eks-operator:v1.14.6-rc.1,0,0,0
rancher/fleet-agent:v0.15.7-rc.2,0,0,0
rancher/fleet:v0.15.7-rc.2,0,0,0
rancher/gke-operator:v1.14.7-rc.2,0,0,0
rancher/hardened-addon-resizer:1.8.23-build20260819,0,0,0
rancher/hardened-calico:v3.32.1-build20260827,0,10,10
rancher/hardened-cluster-autoscaler:v1.10.3-build20260819,0,0,0
rancher/hardened-cni-plugins:v1.9.1-build20260819,0,0,0
rancher/hardened-coredns:v1.14.7-build20260819,0,2,2
rancher/hardened-csi-snapshotter:v8.6.0-build20260708,0,7,7
rancher/hardened-dns-node-cache:1.26.8-build20260819,0,2,2
rancher/hardened-etcd:v3.6.14-k3s1-build20260819,0,3,3
rancher/hardened-flannel:v0.28.9-build20260819,0,2,2
rancher/hardened-k8s-metrics-server:v0.9.0-build20260819,1,2,3
rancher/hardened-kubernetes:v1.33.13-rke2r2-build20260723,0,40,40
rancher/hardened-kubernetes:v1.34.11-rke2r1-build20260821,0,10,10
rancher/hardened-kubernetes:v1.35.8-rke2r1-build20260821,0,10,10
rancher/hardened-multus-cni:v4.3.0-build20260722,0,4,4
rancher/hardened-multus-dynamic-networks-controller:v0.3.8-build20260722,0,6,6
rancher/hardened-multus-thick:v4.3.0-build20260722,0,4,4
rancher/hardened-snapshot-controller:v8.6.0-build20260819,0,1,1
rancher/hardened-traefik:v3.7.11-build20260819,2,7,9
rancher/hardened-whereabouts:v0.9.4-build20260721,0,12,12
rancher/harvester-cloud-provider:v0.2.7,0,4,4
rancher/harvester-cloud-provider:v0.2.8,0,6,6
rancher/harvester-csi-driver:v0.2.10,0,0,0
rancher/harvester-csi-driver:v0.2.9,0,10,10
rancher/helm-controller:v0.16.26,0,7,7
rancher/k3s-upgrade:v1.33.13-k3s2,0,8,8
rancher/k3s-upgrade:v1.34.11-k3s1,0,3,3
rancher/k3s-upgrade:v1.35.8-k3s1,0,5,5
rancher/klipper-helm:v0.11.1-build20260615,0,22,22
rancher/klipper-helm:v0.13.3-build20260727,0,17,17
rancher/klipper-helm:v0.13.3-build20260820,0,5,5
rancher/klipper-lb:v0.4.16,0,4,4
rancher/klipper-lb:v0.4.17,0,0,0
rancher/kube-api-auth:v0.13.3,0,0,0
rancher/kube-webhook-certgen:v1.14.5-hardened2,0,14,14
rancher/kubeadm-bootstrap-controller:v1.12.7,0,12,12
rancher/kubeadm-control-plane-controller:v1.12.7,0,12,12
rancher/kuberlr-kubectl:v7.0.3,0,37,37
rancher/kuberlr-kubectl:v7.1.1,0,20,20
rancher/kuberlr-kubectl:v7.1.2,0,15,15
rancher/kuberlr-kubectl:v7.1.3,0,0,0
rancher/local-path-provisioner:v0.0.37,0,4,4
rancher/machine:v0.15.0-rancher142.6-rc.0,0,2,2
rancher/mirrored-bci-busybox:15.6.24.2,0,7,7
rancher/mirrored-bci-micro:15.6.24.2,0,7,7
rancher/mirrored-calico-apiserver:v3.32.1,0,3,3
