image,critical,high,total
rancher/aks-operator:v1.10.9,1,6,7
rancher/appco-redis:8.0.3-2.1,1,5,6
rancher/backup-restore-operator:v6.0.3,1,7,8
rancher/cis-operator:v1.3.11-rc.1,1,2,3
rancher/eks-operator:v1.10.9,1,6,7
rancher/fleet-agent:v0.11.13,0,2,2
rancher/fleet:v0.11.13,0,2,2
rancher/gke-operator:v1.10.9,1,7,8
rancher/hardened-addon-resizer:1.8.20-build20240910,1,8,9
rancher/hardened-addon-resizer:1.8.20-build20241001,1,8,9
rancher/hardened-addon-resizer:1.8.22-build20250110,1,3,4
rancher/hardened-addon-resizer:1.8.23-build20250507,1,4,5
rancher/hardened-addon-resizer:1.8.23-build20250612,1,3,4
rancher/hardened-addon-resizer:1.8.23-build20250909,1,3,4
rancher/hardened-addon-resizer:1.8.23-build20251016,1,2,3
rancher/hardened-calico:v3.30.3-build20251015,0,6,6
rancher/hardened-cluster-autoscaler:v1.10.2-build20250611,1,3,4
rancher/hardened-cluster-autoscaler:v1.10.2-build20250909,1,3,4
rancher/hardened-cluster-autoscaler:v1.10.2-build20251015,1,2,3
rancher/hardened-cluster-autoscaler:v1.8.11-build20240910,1,3,4
rancher/hardened-cluster-autoscaler:v1.8.11-build20241014,1,3,4
rancher/hardened-cluster-autoscaler:v1.9.0-build20241126,1,3,4
rancher/hardened-cni-plugins:v1.5.1-build20240910,0,6,6
rancher/hardened-cni-plugins:v1.5.1-build20241009,0,6,6
rancher/hardened-cni-plugins:v1.6.0-build20241022,0,6,6
rancher/hardened-cni-plugins:v1.7.1-build20250611,0,4,4
rancher/hardened-cni-plugins:v1.7.1-build20250725,0,4,4
rancher/hardened-cni-plugins:v1.8.0-build20251014,0,4,4
rancher/hardened-coredns:v1.11.1-build20240910,1,12,13
rancher/hardened-coredns:v1.11.3-build20241018,1,9,10
rancher/hardened-coredns:v1.12.0-build20241126,1,11,12
rancher/hardened-coredns:v1.12.1-build20250401,1,11,12
rancher/hardened-coredns:v1.12.1-build20250507,1,11,12
rancher/hardened-coredns:v1.12.2-build20250611,1,11,12
rancher/hardened-coredns:v1.12.3-build20250806,1,12,13
rancher/hardened-coredns:v1.12.3-build20250909,1,21,22
rancher/hardened-coredns:v1.13.1-build20251015,1,17,18
rancher/hardened-dns-node-cache:1.23.1-build20240910,1,16,17
rancher/hardened-dns-node-cache:1.23.1-build20241008,1,16,17
rancher/hardened-dns-node-cache:1.24.0-build20241211,1,19,20
rancher/hardened-dns-node-cache:1.26.0-build20250515,1,19,20
rancher/hardened-dns-node-cache:1.26.0-build20250611,1,18,19
rancher/hardened-dns-node-cache:1.26.0-build20250909,1,18,19
rancher/hardened-dns-node-cache:1.26.7-build20251016,1,16,17
rancher/hardened-etcd:v3.5.13-k3s1-build20240910,2,6,8
