image,release,package_name,package_version,type,vulnerability_id,severity,url,target,patched_version,mirrored,status,justification
rancher/aks-operator:v1.12.11,rancher/v2.12.12,stdlib,v1.25.12,gobinary,CVE-2026-33818,HIGH,https://avd.aquasec.com/nvd/cve-2026-33818,usr/bin/aks-operator,"1.25.13, 1.26.6, 1.27.0-rc.3",false,affected,
rancher/aks-operator:v1.12.11,rancher/v2.12.12,stdlib,v1.25.12,gobinary,CVE-2026-39821,HIGH,https://avd.aquasec.com/nvd/cve-2026-39821,usr/bin/aks-operator,"1.25.13, 1.26.6, 1.27.0-rc.3",false,affected,
rancher/aks-operator:v1.12.11,rancher/v2.12.12,stdlib,v1.25.12,gobinary,CVE-2026-56853,HIGH,https://avd.aquasec.com/nvd/cve-2026-56853,usr/bin/aks-operator,"1.25.13, 1.26.6, 1.27.0-rc.3",false,not_affected,vulnerable_code_not_in_execute_path
rancher/aks-operator:v1.12.11,rancher/v2.12.12,stdlib,v1.25.12,gobinary,CVE-2026-56858,HIGH,https://avd.aquasec.com/nvd/cve-2026-56858,usr/bin/aks-operator,"1.25.13, 1.26.6, 1.27.0-rc.3",false,not_affected,vulnerable_code_not_present
rancher/aks-operator:v1.12.11,rancher/v2.12.12,stdlib,v1.25.12,gobinary,CVE-2026-56859,HIGH,https://avd.aquasec.com/nvd/cve-2026-56859,usr/bin/aks-operator,"1.25.13, 1.26.6, 1.27.0-rc.3",false,affected,
rancher/aks-operator:v1.12.11,rancher/v2.12.12,stdlib,v1.25.12,gobinary,CVE-2026-56862,HIGH,https://avd.aquasec.com/nvd/cve-2026-56862,usr/bin/aks-operator,"1.25.13, 1.26.6, 1.27.0-rc.3",false,affected,
rancher/appco-k8s-sidecar:1.30.7-11.3,rancher/v2.12.12,urllib3,2.5.0,python-pkg,CVE-2025-66418,HIGH,https://avd.aquasec.com/nvd/cve-2025-66418,Python,2.6.0,false,affected,
rancher/appco-k8s-sidecar:1.30.7-11.3,rancher/v2.12.12,urllib3,2.5.0,python-pkg,CVE-2025-66471,HIGH,https://avd.aquasec.com/nvd/cve-2025-66471,Python,2.6.0,false,affected,
rancher/appco-k8s-sidecar:1.30.7-11.3,rancher/v2.12.12,urllib3,2.5.0,python-pkg,CVE-2026-21441,HIGH,https://avd.aquasec.com/nvd/cve-2026-21441,Python,2.6.3,false,affected,
rancher/appco-k8s-sidecar:1.30.7-11.3,rancher/v2.12.12,pyasn1,0.6.1,python-pkg,CVE-2026-23490,HIGH,https://avd.aquasec.com/nvd/cve-2026-23490,Python,0.6.2,false,affected,
rancher/appco-k8s-sidecar:1.30.7-11.3,rancher/v2.12.12,pyasn1,0.6.1,python-pkg,CVE-2026-30922,HIGH,https://avd.aquasec.com/nvd/cve-2026-30922,Python,0.6.3,false,affected,
