image,critical,high,total
rancher/aks-operator:v1.13.5,0,3,3
rancher/appco-alertmanager:0.28.1-12.7,0,12,12
rancher/appco-grafana:12.1.1-2.2,3,52,55
rancher/appco-k8s-sidecar:1.30.7-11.3,1,20,21
rancher/appco-kube-rbac-proxy:0.19.1-15.2,0,16,16
rancher/appco-kube-state-metrics:2.17.0-10.7,0,13,13
rancher/appco-node-exporter:1.9.1-11.3,0,13,13
rancher/appco-redis:8.0.3-2.1,1,5,6
rancher/appco-thanos:0.39.2-7.3,0,14,14
rancher/backup-restore-operator:v9.0.3,0,9,9
rancher/compliance-operator:v1.3.5,0,5,5
rancher/eks-operator:v1.13.5,0,4,4
rancher/fleet-agent:v0.14.5,0,3,3
rancher/fleet:v0.14.5,0,13,13
rancher/gke-operator:v1.13.5,0,5,5
rancher/hardened-addon-resizer:1.8.23-build20260413,0,2,2
rancher/hardened-calico:v3.31.5-build20260415,0,2,2
rancher/hardened-cluster-autoscaler:v1.10.3-build20260414,0,2,2
rancher/hardened-cni-plugins:v1.9.1-build20260415,0,1,1
rancher/hardened-coredns:v1.14.2-build20260416,0,7,7
rancher/hardened-csi-snapshotter:v8.5.0-build20260410,0,1,1
rancher/hardened-dns-node-cache:1.26.8-build20260416,0,10,10
rancher/hardened-etcd:v3.6.7-k3s1-build20260415,0,4,4
rancher/hardened-flannel:v0.28.4-build20260415,0,2,2
rancher/hardened-k8s-metrics-server:v0.8.1-build20260413,0,4,4
rancher/hardened-kubernetes:v1.32.13-rke2r1-build20260227,0,36,36
rancher/hardened-kubernetes:v1.33.11-rke2r1-build20260416,0,0,0
rancher/hardened-kubernetes:v1.34.7-rke2r1-build20260416,0,0,0
rancher/hardened-multus-cni:v4.2.4-build20260310,0,15,15
rancher/hardened-multus-dynamic-networks-controller:v0.3.7-build20260310,0,3,3
rancher/hardened-multus-thick:v4.2.4-build20260310,0,13,13
rancher/hardened-snapshot-controller:v8.5.0-build20260410,0,1,1
rancher/hardened-traefik:v3.6.13-build20260416,0,12,12
rancher/hardened-whereabouts:v0.9.3-build20260408,0,4,4
rancher/harvester-cloud-provider:v0.2.4,1,20,21
rancher/harvester-cloud-provider:v0.2.5,0,22,22
rancher/harvester-csi-driver:v0.2.4,3,25,28
rancher/harvester-csi-driver:v0.2.8,0,13,13
rancher/k3s-upgrade:v1.32.13-k3s1,0,5,5
rancher/k3s-upgrade:v1.33.11-k3s1,0,1,1
rancher/k3s-upgrade:v1.34.7-k3s1,0,1,1
rancher/klipper-helm:v0.9.17-build20260422,0,12,12
