image,release,package_name,package_version,type,vulnerability_id,severity,url,target,patched_version,mirrored,status,justification
rancher/aks-operator:v1.2.7,rancher/v2.8-head,glibc,2.38-150600.14.20.3,sles,SUSE-SU-2025:01702-1,HIGH,,rancher/aks-operator:v1.2.7 (sles 15.6),2.38-150600.14.32.1,false,affected,
rancher/aks-operator:v1.2.7,rancher/v2.8-head,github.com/golang-jwt/jwt/v4,v4.5.0,gobinary,CVE-2025-30204,HIGH,https://avd.aquasec.com/nvd/cve-2025-30204,usr/bin/aks-operator,4.5.2,false,not_affected,vulnerable_code_not_in_execute_path
rancher/aks-operator:v1.2.7,rancher/v2.8-head,golang.org/x/crypto,v0.32.0,gobinary,CVE-2025-22869,HIGH,https://avd.aquasec.com/nvd/cve-2025-22869,usr/bin/aks-operator,0.35.0,false,not_affected,vulnerable_code_not_present
rancher/aks-operator:v1.2.7,rancher/v2.8-head,golang.org/x/net,v0.34.0,gobinary,CVE-2025-22870,MEDIUM,https://avd.aquasec.com/nvd/cve-2025-22870,usr/bin/aks-operator,0.36.0,false,not_affected,vulnerable_code_not_present
rancher/aks-operator:v1.2.7,rancher/v2.8-head,golang.org/x/net,v0.34.0,gobinary,CVE-2025-22872,MEDIUM,https://avd.aquasec.com/nvd/cve-2025-22872,usr/bin/aks-operator,0.38.0,false,not_affected,vulnerable_code_not_present
rancher/backup-restore-operator:v4.0.4,rancher/v2.8-head,glibc,2.38-150600.14.11.2,sles,SUSE-SU-2025:01702-1,HIGH,,rancher/backup-restore-operator:v4.0.4 (sles 15.6),2.38-150600.14.32.1,false,affected,
rancher/backup-restore-operator:v4.0.4,rancher/v2.8-head,golang.org/x/crypto,v0.27.0,gobinary,CVE-2024-45337,CRITICAL,https://avd.aquasec.com/nvd/cve-2024-45337,usr/bin/backup-restore-operator,0.31.0,false,not_affected,vulnerable_code_not_present
rancher/backup-restore-operator:v4.0.4,rancher/v2.8-head,golang.org/x/crypto,v0.27.0,gobinary,CVE-2025-22869,HIGH,https://avd.aquasec.com/nvd/cve-2025-22869,usr/bin/backup-restore-operator,0.35.0,false,not_affected,vulnerable_code_not_present
rancher/backup-restore-operator:v4.0.4,rancher/v2.8-head,golang.org/x/net,v0.28.0,gobinary,CVE-2025-22870,MEDIUM,https://avd.aquasec.com/nvd/cve-2025-22870,usr/bin/backup-restore-operator,0.36.0,false,not_affected,vulnerable_code_not_present
rancher/backup-restore-operator:v4.0.4,rancher/v2.8-head,golang.org/x/net,v0.28.0,gobinary,CVE-2025-22872,MEDIUM,https://avd.aquasec.com/nvd/cve-2025-22872,usr/bin/backup-restore-operator,0.38.0,false,not_affected,vulnerable_code_not_present
rancher/calico-cni:v3.26.3-rancher1,rancher/v2.8-head,stdlib,v1.21.1,gobinary,CVE-2024-24790,MEDIUM,https://avd.aquasec.com/nvd/cve-2024-24790,opt/cni/bin/bandwidth,"1.21.11, 1.22.4",false,affected,severity_changed_due_to_suse_cvss_score
rancher/calico-cni:v3.26.3-rancher1,rancher/v2.8-head,stdlib,v1.21.1,gobinary,CVE-2023-39325,HIGH,https://avd.aquasec.com/nvd/cve-2023-39325,opt/cni/bin/bandwidth,"1.20.10, 1.21.3",false,affected,
rancher/calico-cni:v3.26.3-rancher1,rancher/v2.8-head,stdlib,v1.21.1,gobinary,CVE-2023-45283,MEDIUM,https://avd.aquasec.com/nvd/cve-2023-45283,opt/cni/bin/bandwidth,"1.20.11, 1.21.4, 1.20.12, 1.21.5",false,affected,severity_changed_due_to_suse_cvss_score
rancher/calico-cni:v3.26.3-rancher1,rancher/v2.8-head,stdlib,v1.21.1,gobinary,CVE-2023-45288,MEDIUM,https://avd.aquasec.com/nvd/cve-2023-45288,opt/cni/bin/bandwidth,"1.21.9, 1.22.2",false,affected,severity_changed_due_to_suse_cvss_score
rancher/calico-cni:v3.26.3-rancher1,rancher/v2.8-head,stdlib,v1.21.1,gobinary,CVE-2024-34156,MEDIUM,https://avd.aquasec.com/nvd/cve-2024-34156,opt/cni/bin/bandwidth,"1.22.7, 1.23.1",false,affected,severity_changed_due_to_suse_cvss_score
rancher/calico-cni:v3.26.3-rancher1,rancher/v2.8-head,stdlib,v1.21.1,gobinary,CVE-2023-39326,HIGH,https://avd.aquasec.com/nvd/cve-2023-39326,opt/cni/bin/bandwidth,"1.20.12, 1.21.5",false,affected,severity_changed_due_to_suse_cvss_score
rancher/calico-cni:v3.26.3-rancher1,rancher/v2.8-head,stdlib,v1.21.1,gobinary,CVE-2023-45289,HIGH,https://avd.aquasec.com/nvd/cve-2023-45289,opt/cni/bin/bandwidth,"1.21.8, 1.22.1",false,affected,severity_changed_due_to_suse_cvss_score
rancher/calico-cni:v3.26.3-rancher1,rancher/v2.8-head,stdlib,v1.21.1,gobinary,CVE-2023-45290,HIGH,https://avd.aquasec.com/nvd/cve-2023-45290,opt/cni/bin/bandwidth,"1.21.8, 1.22.1",false,affected,severity_changed_due_to_suse_cvss_score
rancher/calico-cni:v3.26.3-rancher1,rancher/v2.8-head,stdlib,v1.21.1,gobinary,CVE-2024-24783,HIGH,https://avd.aquasec.com/nvd/cve-2024-24783,opt/cni/bin/bandwidth,"1.21.8, 1.22.1",false,affected,severity_changed_due_to_suse_cvss_score
rancher/calico-cni:v3.26.3-rancher1,rancher/v2.8-head,stdlib,v1.21.1,gobinary,CVE-2024-24784,HIGH,https://avd.aquasec.com/nvd/cve-2024-24784,opt/cni/bin/bandwidth,"1.21.8, 1.22.1",false,affected,severity_changed_due_to_suse_cvss_score
rancher/calico-cni:v3.26.3-rancher1,rancher/v2.8-head,stdlib,v1.21.1,gobinary,CVE-2024-24785,HIGH,https://avd.aquasec.com/nvd/cve-2024-24785,opt/cni/bin/bandwidth,"1.21.8, 1.22.1",false,affected,severity_changed_due_to_suse_cvss_score
rancher/calico-cni:v3.26.3-rancher1,rancher/v2.8-head,golang.org/x/sys,v0.0.0-20210809222454-d867a43fc93e,gobinary,CVE-2022-29526,MEDIUM,https://avd.aquasec.com/nvd/cve-2022-29526,opt/cni/bin/bandwidth,0.0.0-20220412211240-33da011f77ad,false,not_affected,vulnerable_code_not_in_execute_path
