image,release,package_name,package_version,type,vulnerability_id,severity,url,target,patched_version,mirrored,status,justification
rancher/hardened-coredns:v1.14.7-build20260819,rke2/master-prerelease,golang.org/x/mod,v0.37.0,gobinary,CVE-2026-56864,HIGH,https://avd.aquasec.com/nvd/cve-2026-56864,coredns,0.40.0,false,not_affected,vulnerable_code_not_present
rancher/hardened-coredns:v1.14.7-build20260819,rke2/master-prerelease,golang.org/x/mod,v0.37.0,gobinary,CVE-2026-56865,HIGH,https://avd.aquasec.com/nvd/cve-2026-56865,coredns,0.40.0,false,not_affected,vulnerable_code_not_present
rancher/hardened-dns-node-cache:1.26.8-build20260819,rke2/master-prerelease,golang.org/x/mod,v0.37.0,gobinary,CVE-2026-56864,HIGH,https://avd.aquasec.com/nvd/cve-2026-56864,node-cache,0.40.0,false,not_affected,vulnerable_code_not_present
rancher/hardened-dns-node-cache:1.26.8-build20260819,rke2/master-prerelease,golang.org/x/mod,v0.37.0,gobinary,CVE-2026-56865,HIGH,https://avd.aquasec.com/nvd/cve-2026-56865,node-cache,0.40.0,false,not_affected,vulnerable_code_not_present
rancher/hardened-etcd:v3.6.14-k3s1-build20260819,rke2/master-prerelease,golang.org/x/net,v0.55.0,gobinary,CVE-2026-46600,HIGH,https://avd.aquasec.com/nvd/cve-2026-46600,usr/local/bin/etcd,0.56.0,false,not_affected,vulnerable_code_not_present
rancher/hardened-etcd:v3.6.14-k3s1-build20260819,rke2/master-prerelease,golang.org/x/net,v0.55.0,gobinary,CVE-2026-46600,HIGH,https://avd.aquasec.com/nvd/cve-2026-46600,usr/local/bin/etcdctl,0.56.0,false,not_affected,vulnerable_code_not_present
rancher/hardened-etcd:v3.6.14-k3s1-build20260819,rke2/master-prerelease,golang.org/x/text,v0.37.0,gobinary,CVE-2026-56852,HIGH,https://avd.aquasec.com/nvd/cve-2026-56852,usr/local/bin/etcd,0.39.0,false,not_affected,vulnerable_code_not_in_execute_path
rancher/hardened-etcd:v3.6.14-k3s1-build20260819,rke2/master-prerelease,golang.org/x/text,v0.37.0,gobinary,CVE-2026-56852,HIGH,https://avd.aquasec.com/nvd/cve-2026-56852,usr/local/bin/etcdctl,0.39.0,false,not_affected,vulnerable_code_not_in_execute_path
rancher/hardened-multus-cni:v4.3.0-build20260722,rke2/master-prerelease,stdlib,v1.25.12,gobinary,CVE-2026-33818,HIGH,https://avd.aquasec.com/nvd/cve-2026-33818,cert-approver,"1.25.13, 1.26.6, 1.27.0-rc.3",false,not_affected,vulnerable_code_not_present
rancher/hardened-multus-cni:v4.3.0-build20260722,rke2/master-prerelease,stdlib,v1.25.12,gobinary,CVE-2026-33818,HIGH,https://avd.aquasec.com/nvd/cve-2026-33818,install_multus,"1.25.13, 1.26.6, 1.27.0-rc.3",false,not_affected,vulnerable_code_not_present
rancher/hardened-multus-cni:v4.3.0-build20260722,rke2/master-prerelease,stdlib,v1.25.12,gobinary,CVE-2026-33818,HIGH,https://avd.aquasec.com/nvd/cve-2026-33818,kubeconfig_generator,"1.25.13, 1.26.6, 1.27.0-rc.3",false,not_affected,vulnerable_code_not_present
rancher/hardened-multus-cni:v4.3.0-build20260722,rke2/master-prerelease,stdlib,v1.25.12,gobinary,CVE-2026-33818,HIGH,https://avd.aquasec.com/nvd/cve-2026-33818,thin_entrypoint,"1.25.13, 1.26.6, 1.27.0-rc.3",false,not_affected,vulnerable_code_not_present
rancher/hardened-multus-cni:v4.3.0-build20260722,rke2/master-prerelease,stdlib,v1.25.12,gobinary,CVE-2026-33818,HIGH,https://avd.aquasec.com/nvd/cve-2026-33818,usr/src/multus-cni/bin/multus,"1.25.13, 1.26.6, 1.27.0-rc.3",false,not_affected,vulnerable_code_not_present
rancher/hardened-multus-cni:v4.3.0-build20260722,rke2/master-prerelease,stdlib,v1.25.12,gobinary,CVE-2026-39821,HIGH,https://avd.aquasec.com/nvd/cve-2026-39821,cert-approver,"1.25.13, 1.26.6, 1.27.0-rc.3",false,not_affected,vulnerable_code_not_present
rancher/hardened-multus-cni:v4.3.0-build20260722,rke2/master-prerelease,stdlib,v1.25.12,gobinary,CVE-2026-39821,HIGH,https://avd.aquasec.com/nvd/cve-2026-39821,install_multus,"1.25.13, 1.26.6, 1.27.0-rc.3",false,not_affected,vulnerable_code_not_present
rancher/hardened-multus-cni:v4.3.0-build20260722,rke2/master-prerelease,stdlib,v1.25.12,gobinary,CVE-2026-39821,HIGH,https://avd.aquasec.com/nvd/cve-2026-39821,kubeconfig_generator,"1.25.13, 1.26.6, 1.27.0-rc.3",false,not_affected,vulnerable_code_not_present
rancher/hardened-multus-cni:v4.3.0-build20260722,rke2/master-prerelease,stdlib,v1.25.12,gobinary,CVE-2026-39821,HIGH,https://avd.aquasec.com/nvd/cve-2026-39821,thin_entrypoint,"1.25.13, 1.26.6, 1.27.0-rc.3",false,not_affected,vulnerable_code_not_present
rancher/hardened-multus-cni:v4.3.0-build20260722,rke2/master-prerelease,stdlib,v1.25.12,gobinary,CVE-2026-39821,HIGH,https://avd.aquasec.com/nvd/cve-2026-39821,usr/src/multus-cni/bin/multus,"1.25.13, 1.26.6, 1.27.0-rc.3",false,not_affected,vulnerable_code_not_present
rancher/hardened-multus-cni:v4.3.0-build20260722,rke2/master-prerelease,stdlib,v1.25.12,gobinary,CVE-2026-56853,HIGH,https://avd.aquasec.com/nvd/cve-2026-56853,cert-approver,"1.25.13, 1.26.6, 1.27.0-rc.3",false,not_affected,vulnerable_code_not_present
