image,critical,high,total
rancher/hardened-addon-resizer:1.8.23-build20260206,0,0,0
rancher/hardened-calico:v3.31.4-build20260310,5,0,5
rancher/hardened-cluster-autoscaler:v1.10.3-build20260206,0,0,0
rancher/hardened-coredns:v1.14.2-build20260310,1,0,1
rancher/hardened-dns-node-cache:1.26.7-build20260310,1,3,4
rancher/hardened-etcd:v3.5.26-k3s1-build20260227,2,0,2
rancher/hardened-flannel:v0.28.1-build20260313,1,0,1
rancher/hardened-k8s-metrics-server:v0.8.1-build20260206,1,0,1
rancher/hardened-kubernetes:v1.33.10-rke2r1-build20260319,5,0,5
rancher/hardened-snapshot-controller:v8.4.0-build20260205,1,0,1
rancher/klipper-helm:v0.9.14-build20260309,3,0,3
rancher/klipper-lb:v0.4.15,0,0,0
rancher/kube-webhook-certgen:v1.6.8,0,0,0
rancher/mirrored-pause:3.6,0,0,0
rancher/nginx-ingress-controller:v1.14.4-hardened1,0,0,0
rancher/rke2-cloud-provider:v1.33.8-0.20260211145912-3552cfc26032-build20260211,1,0,1
rancher/rke2-runtime:v1.33.10-rc1-rke2r1,5,3,8
