image,critical,high,total
rancher/hardened-addon-resizer:1.8.23-build20250612,0,0,0
rancher/hardened-calico:v3.30.1-build20250611,0,3,3
rancher/hardened-cluster-autoscaler:v1.10.2-build20250611,0,0,0
rancher/hardened-coredns:v1.12.2-build20250611,0,0,0
rancher/hardened-dns-node-cache:1.26.0-build20250611,0,0,0
rancher/hardened-etcd:v3.5.21-k3s1-build20250612,0,0,0
rancher/hardened-flannel:v0.27.0-build20250611,0,7,7
rancher/hardened-k8s-metrics-server:v0.7.2-build20250612,0,0,0
rancher/hardened-kubernetes:v1.33.2-rke2r1-build20250618,0,0,0
rancher/klipper-helm:v0.9.7-build20250616,0,2,2
rancher/klipper-lb:v0.4.13,0,0,0
rancher/mirrored-ingress-nginx-kube-webhook-certgen:v1.5.3,0,1,1
rancher/mirrored-pause:3.6,0,0,0
rancher/mirrored-sig-storage-snapshot-controller:v8.2.0,0,0,0
rancher/nginx-ingress-controller:v1.12.2-hardened2,0,7,7
rancher/rke2-cloud-provider:v1.33.1-0.20250516163953-99d91538b132-build20250612,0,0,0
rancher/rke2-runtime:v1.33.2-rke2r1,0,0,0
