image,critical,high,total
rancher/hardened-addon-resizer:1.8.23-build20260819,0,0,0
rancher/hardened-calico:v3.32.2-build20260909,0,0,0
rancher/hardened-cluster-autoscaler:v1.10.3-build20260819,0,0,0
rancher/hardened-cni-plugins:v1.9.1-build20260903,0,0,0
rancher/hardened-coredns:v1.14.7-build20260819,1,2,3
rancher/hardened-dns-node-cache:1.26.8-build20260819,1,2,3
rancher/hardened-etcd:v3.6.14-k3s1-build20260819,2,4,6
rancher/hardened-flannel:v0.28.9-build20260909,0,0,0
rancher/hardened-k8s-metrics-server:v0.9.0-build20260819,1,4,5
rancher/hardened-multus-cni:v4.3.1-build20260910,0,0,0
rancher/hardened-multus-dynamic-networks-controller:v0.3.8-build20260909,0,0,0
rancher/hardened-multus-thick:v4.3.1-build20260910,0,0,0
rancher/hardened-snapshot-controller:v8.6.0-build20260909,0,0,0
rancher/hardened-traefik:v3.7.13-build20260910,0,0,0
rancher/hardened-whereabouts:v0.9.4-build20260819,0,0,0
rancher/harvester-cloud-provider:v0.2.8,1,8,9
rancher/harvester-csi-driver:v0.2.9,1,13,14
rancher/klipper-helm:v0.13.3-build20260820,0,6,6
rancher/klipper-lb:v0.4.17,0,0,0
rancher/mirrored-calico-apiserver:v3.32.2,1,2,3
rancher/mirrored-calico-cni:v3.32.2,1,2,3
rancher/mirrored-calico-csi:v3.32.2,1,2,3
rancher/mirrored-calico-ctl:v3.32.2,1,4,5
rancher/mirrored-calico-envoy-gateway:v3.32.2,1,5,6
rancher/mirrored-calico-envoy-proxy:v3.32.2,0,0,0
rancher/mirrored-calico-envoy-ratelimit:v3.32.2,1,2,3
rancher/mirrored-calico-goldmane:v3.32.2,2,4,6
rancher/mirrored-calico-kube-controllers:v3.32.2,1,2,3
rancher/mirrored-calico-node-driver-registrar:v3.32.2,1,2,3
rancher/mirrored-calico-node:v3.32.2,1,4,5
rancher/mirrored-calico-operator:v1.42.6,0,2,2
rancher/mirrored-calico-pod2daemon-flexvol:v3.32.2,0,0,0
rancher/mirrored-calico-typha:v3.32.2,1,2,3
rancher/mirrored-calico-whisker-backend:v3.32.2,1,2,3
rancher/mirrored-calico-whisker:v3.32.2,0,0,0
rancher/mirrored-cilium-certgen:v0.4.9,0,8,8
rancher/mirrored-cilium-cilium-envoy:v1.37.5-1786810558-766ccfb37260a43e9d228837aa84ce3faf9f64e7,0,0,0
rancher/mirrored-cilium-cilium:v1.20.1,3,78,81
rancher/mirrored-cilium-clustermesh-apiserver:v1.20.1,2,18,20
rancher/mirrored-cilium-hubble-relay:v1.20.1,1,12,13
rancher/mirrored-cilium-hubble-ui-backend:v0.13.5,1,10,11
rancher/mirrored-cilium-hubble-ui:v0.13.5,0,4,4
rancher/mirrored-cilium-operator-aws:v1.20.1,1,14,15
rancher/mirrored-cilium-operator-azure:v1.20.1,1,14,15
rancher/mirrored-cilium-operator-generic:v1.20.1,1,14,15
rancher/mirrored-kube-vip-kube-vip-iptables:v1.2.3,1,9,10
rancher/mirrored-library-busybox:1.36.1,0,0,0
rancher/mirrored-longhornio-csi-attacher:v4.11.0-20260428,1,12,13
rancher/mirrored-longhornio-csi-node-driver-registrar:v2.16.0-20260428,1,10,11
rancher/mirrored-longhornio-csi-provisioner:v5.3.0-20260428,1,12,13
rancher/mirrored-longhornio-csi-resizer:v2.1.0-20260428,1,12,13
rancher/mirrored-longhornio-csi-snapshotter:v8.5.0-20260428,1,12,13
rancher/mirrored-pause:3.10.2,0,0,0
rancher/rke2-cloud-provider:v1.36.4-0.20260817193921-a2fc9574e060-build20260820,1,4,5
registry.rancher.com/rancher/hardened-cloud-provider-vsphere:v1.36.0-build20260722,1,8,9
registry.rancher.com/rancher/hardened-csi-attacher:v4.12.0-build20260722,1,8,9
registry.rancher.com/rancher/hardened-csi-node-driver-registrar:v2.17.0-build20260722,1,7,8
registry.rancher.com/rancher/hardened-csi-provisioner:v4.0.1-build20260730,1,8,9
registry.rancher.com/rancher/hardened-csi-resizer:v1.12.0-build20260731,1,8,9
registry.rancher.com/rancher/hardened-csi-snapshotter:v8.6.0-build20260722,1,7,8
registry.rancher.com/rancher/hardened-livenessprobe:v2.19.0-build20260722,1,7,8
registry.rancher.com/rancher/hardened-vsphere-csi-driver:v3.7.2-build20260731,1,8,9
registry.rancher.com/rancher/hardened-vsphere-csi-syncer:v3.7.2-build20260722,1,7,8
registry.rancher.com/rancher/kube-webhook-certgen:v1.15.1-prime11,0,0,0
registry.rancher.com/rancher/nginx-ingress-controller:v1.15.1-prime11,0,2,2
