image,release,package_name,package_version,type,vulnerability_id,severity,url,target,patched_version,mirrored,status,justification
rancher/hardened-dns-node-cache:1.26.8-build20260909,rke2/v1.37.0,golang.org/x/crypto,v0.52.0,gobinary,CVE-2026-56854,HIGH,https://avd.aquasec.com/nvd/cve-2026-56854,node-cache,0.55.0,false,not_affected,vulnerable_code_not_present
rancher/hardened-dns-node-cache:1.26.8-build20260909,rke2/v1.37.0,golang.org/x/crypto,v0.52.0,gobinary,CVE-2026-56855,MEDIUM,https://avd.aquasec.com/nvd/cve-2026-56855,node-cache,0.56.0,false,not_affected,vulnerable_code_not_present
rancher/hardened-dns-node-cache:1.26.8-build20260909,rke2/v1.37.0,golang.org/x/mod,v0.37.0,gobinary,CVE-2026-56864,HIGH,https://avd.aquasec.com/nvd/cve-2026-56864,node-cache,0.40.0,false,not_affected,vulnerable_code_not_present
rancher/hardened-dns-node-cache:1.26.8-build20260909,rke2/v1.37.0,golang.org/x/mod,v0.37.0,gobinary,CVE-2026-56865,HIGH,https://avd.aquasec.com/nvd/cve-2026-56865,node-cache,0.40.0,false,not_affected,vulnerable_code_not_present
rancher/hardened-dns-node-cache:1.26.8-build20260909,rke2/v1.37.0,golang.org/x/crypto,v0.52.0,gobinary,CVE-2026-78662,MEDIUM,https://avd.aquasec.com/nvd/cve-2026-78662,node-cache,0.56.0,false,not_affected,vulnerable_code_not_present
rancher/hardened-kubernetes:v1.37.0-rke2r1-build20260909,rke2/v1.37.0,golang.org/x/crypto,v0.55.0,gobinary,CVE-2026-56855,MEDIUM,https://avd.aquasec.com/nvd/cve-2026-56855,usr/local/bin/kube-apiserver,0.56.0,false,not_affected,vulnerable_code_not_present
rancher/hardened-kubernetes:v1.37.0-rke2r1-build20260909,rke2/v1.37.0,golang.org/x/crypto,v0.55.0,gobinary,CVE-2026-56855,MEDIUM,https://avd.aquasec.com/nvd/cve-2026-56855,usr/local/bin/kube-controller-manager,0.56.0,false,not_affected,vulnerable_code_not_present
rancher/hardened-kubernetes:v1.37.0-rke2r1-build20260909,rke2/v1.37.0,golang.org/x/crypto,v0.55.0,gobinary,CVE-2026-56855,MEDIUM,https://avd.aquasec.com/nvd/cve-2026-56855,usr/local/bin/kube-proxy,0.56.0,false,not_affected,vulnerable_code_not_present
rancher/hardened-kubernetes:v1.37.0-rke2r1-build20260909,rke2/v1.37.0,golang.org/x/crypto,v0.55.0,gobinary,CVE-2026-56855,MEDIUM,https://avd.aquasec.com/nvd/cve-2026-56855,usr/local/bin/kube-scheduler,0.56.0,false,not_affected,vulnerable_code_not_present
rancher/hardened-kubernetes:v1.37.0-rke2r1-build20260909,rke2/v1.37.0,golang.org/x/crypto,v0.55.0,gobinary,CVE-2026-56855,MEDIUM,https://avd.aquasec.com/nvd/cve-2026-56855,usr/local/bin/kubelet,0.56.0,false,not_affected,vulnerable_code_not_present
rancher/hardened-kubernetes:v1.37.0-rke2r1-build20260909,rke2/v1.37.0,golang.org/x/crypto,v0.55.0,gobinary,CVE-2026-78662,MEDIUM,https://avd.aquasec.com/nvd/cve-2026-78662,usr/local/bin/kube-apiserver,0.56.0,false,not_affected,vulnerable_code_not_present
rancher/hardened-kubernetes:v1.37.0-rke2r1-build20260909,rke2/v1.37.0,golang.org/x/crypto,v0.55.0,gobinary,CVE-2026-78662,MEDIUM,https://avd.aquasec.com/nvd/cve-2026-78662,usr/local/bin/kube-controller-manager,0.56.0,false,not_affected,vulnerable_code_not_present
rancher/hardened-kubernetes:v1.37.0-rke2r1-build20260909,rke2/v1.37.0,golang.org/x/crypto,v0.55.0,gobinary,CVE-2026-78662,MEDIUM,https://avd.aquasec.com/nvd/cve-2026-78662,usr/local/bin/kube-proxy,0.56.0,false,not_affected,vulnerable_code_not_present
rancher/hardened-kubernetes:v1.37.0-rke2r1-build20260909,rke2/v1.37.0,golang.org/x/crypto,v0.55.0,gobinary,CVE-2026-78662,MEDIUM,https://avd.aquasec.com/nvd/cve-2026-78662,usr/local/bin/kube-scheduler,0.56.0,false,not_affected,vulnerable_code_not_present
rancher/hardened-kubernetes:v1.37.0-rke2r1-build20260909,rke2/v1.37.0,golang.org/x/crypto,v0.55.0,gobinary,CVE-2026-78662,MEDIUM,https://avd.aquasec.com/nvd/cve-2026-78662,usr/local/bin/kubelet,0.56.0,false,not_affected,vulnerable_code_not_present
rancher/hardened-snapshot-controller:v8.6.0-build20260909,rke2/v1.37.0,golang.org/x/crypto,v0.55.0,gobinary,CVE-2026-56855,MEDIUM,https://avd.aquasec.com/nvd/cve-2026-56855,snapshot-controller,0.56.0,false,not_affected,vulnerable_code_not_present
rancher/hardened-snapshot-controller:v8.6.0-build20260909,rke2/v1.37.0,golang.org/x/crypto,v0.55.0,gobinary,CVE-2026-78662,MEDIUM,https://avd.aquasec.com/nvd/cve-2026-78662,snapshot-controller,0.56.0,false,not_affected,vulnerable_code_not_present
rancher/rke2-runtime:v1.37.0-rke2r1,rke2/v1.37.0,github.com/docker/docker,v27.3.1+incompatible,gobinary,CVE-2026-33997,MEDIUM,https://avd.aquasec.com/nvd/cve-2026-33997,bin/containerd,29.3.1,false,not_affected,vulnerable_code_not_in_execute_path
rancher/rke2-runtime:v1.37.0-rke2r1,rke2/v1.37.0,github.com/docker/docker,v27.3.1+incompatible,gobinary,CVE-2026-41567,HIGH,https://avd.aquasec.com/nvd/cve-2026-41567,bin/containerd,,false,not_affected,vulnerable_code_not_present
rancher/rke2-runtime:v1.37.0-rke2r1,rke2/v1.37.0,github.com/docker/docker,v27.3.1+incompatible,gobinary,CVE-2026-41568,MEDIUM,https://avd.aquasec.com/nvd/cve-2026-41568,bin/containerd,,false,not_affected,vulnerable_code_not_present
rancher/rke2-runtime:v1.37.0-rke2r1,rke2/v1.37.0,github.com/docker/docker,v27.3.1+incompatible,gobinary,CVE-2026-42306,HIGH,https://avd.aquasec.com/nvd/cve-2026-42306,bin/containerd,,false,not_affected,vulnerable_code_not_present
