image,release,package_name,package_version,type,vulnerability_id,severity,url,target,patched_version,mirrored,status,justification
chrislusf/seaweedfs:4.00,suseai/latest,busybox,1.37.0-r19,alpine,CVE-2024-58251,MEDIUM,https://avd.aquasec.com/nvd/cve-2024-58251,chrislusf/seaweedfs:4.00 (alpine 3.22.2),1.37.0-r20,false,not_affected,vulnerable_code_not_in_execute_path
chrislusf/seaweedfs:4.00,suseai/latest,busybox-binsh,1.37.0-r19,alpine,CVE-2024-58251,MEDIUM,https://avd.aquasec.com/nvd/cve-2024-58251,chrislusf/seaweedfs:4.00 (alpine 3.22.2),1.37.0-r20,false,not_affected,vulnerable_code_not_in_execute_path
chrislusf/seaweedfs:4.00,suseai/latest,ssl_client,1.37.0-r19,alpine,CVE-2024-58251,MEDIUM,https://avd.aquasec.com/nvd/cve-2024-58251,chrislusf/seaweedfs:4.00 (alpine 3.22.2),1.37.0-r20,false,not_affected,vulnerable_code_not_in_execute_path
chrislusf/seaweedfs:4.00,suseai/latest,libcrypto3,3.5.4-r0,alpine,CVE-2025-11187,MEDIUM,https://avd.aquasec.com/nvd/cve-2025-11187,chrislusf/seaweedfs:4.00 (alpine 3.22.2),3.5.5-r0,false,not_affected,vulnerable_code_not_in_execute_path
chrislusf/seaweedfs:4.00,suseai/latest,libssl3,3.5.4-r0,alpine,CVE-2025-11187,MEDIUM,https://avd.aquasec.com/nvd/cve-2025-11187,chrislusf/seaweedfs:4.00 (alpine 3.22.2),3.5.5-r0,false,not_affected,vulnerable_code_not_in_execute_path
chrislusf/seaweedfs:4.00,suseai/latest,libcrypto3,3.5.4-r0,alpine,CVE-2025-15467,HIGH,https://avd.aquasec.com/nvd/cve-2025-15467,chrislusf/seaweedfs:4.00 (alpine 3.22.2),3.5.5-r0,false,not_affected,vulnerable_code_not_in_execute_path
chrislusf/seaweedfs:4.00,suseai/latest,libssl3,3.5.4-r0,alpine,CVE-2025-15467,HIGH,https://avd.aquasec.com/nvd/cve-2025-15467,chrislusf/seaweedfs:4.00 (alpine 3.22.2),3.5.5-r0,false,not_affected,vulnerable_code_not_in_execute_path
chrislusf/seaweedfs:4.00,suseai/latest,golang.org/x/crypto,v0.43.0,gobinary,CVE-2025-47914,MEDIUM,https://avd.aquasec.com/nvd/cve-2025-47914,usr/bin/weed,0.45.0,false,not_affected,vulnerable_code_not_present
chrislusf/seaweedfs:4.00,suseai/latest,stdlib,v1.24.9,gobinary,CVE-2025-61727,HIGH,https://avd.aquasec.com/nvd/cve-2025-61727,usr/bin/weed,"1.24.11, 1.25.5",false,affected,severity_changed_due_to_suse_cvss_score
chrislusf/seaweedfs:4.00,suseai/latest,stdlib,v1.24.9,gobinary,CVE-2025-61729,HIGH,https://avd.aquasec.com/nvd/cve-2025-61729,usr/bin/weed,"1.24.11, 1.25.5",false,affected,
chrislusf/seaweedfs:4.00,suseai/latest,stdlib,v1.24.9,gobinary,CVE-2025-68121,HIGH,https://avd.aquasec.com/nvd/cve-2025-68121,usr/bin/weed,"1.24.13, 1.25.7, 1.26.0-rc.3",false,affected,severity_changed_due_to_suse_cvss_score
chrislusf/seaweedfs:4.00,suseai/latest,libcrypto3,3.5.4-r0,alpine,CVE-2025-69419,MEDIUM,https://avd.aquasec.com/nvd/cve-2025-69419,chrislusf/seaweedfs:4.00 (alpine 3.22.2),3.5.5-r0,false,not_affected,vulnerable_code_not_in_execute_path
chrislusf/seaweedfs:4.00,suseai/latest,libssl3,3.5.4-r0,alpine,CVE-2025-69419,MEDIUM,https://avd.aquasec.com/nvd/cve-2025-69419,chrislusf/seaweedfs:4.00 (alpine 3.22.2),3.5.5-r0,false,not_affected,vulnerable_code_not_in_execute_path
chrislusf/seaweedfs:4.00,suseai/latest,libcrypto3,3.5.4-r0,alpine,CVE-2025-69421,HIGH,https://avd.aquasec.com/nvd/cve-2025-69421,chrislusf/seaweedfs:4.00 (alpine 3.22.2),3.5.5-r0,false,not_affected,vulnerable_code_not_in_execute_path
chrislusf/seaweedfs:4.00,suseai/latest,libssl3,3.5.4-r0,alpine,CVE-2025-69421,HIGH,https://avd.aquasec.com/nvd/cve-2025-69421,chrislusf/seaweedfs:4.00 (alpine 3.22.2),3.5.5-r0,false,not_affected,vulnerable_code_not_in_execute_path
chrislusf/seaweedfs:4.00,suseai/latest,libcrypto3,3.5.4-r0,alpine,CVE-2026-14456,HIGH,https://avd.aquasec.com/nvd/cve-2026-14456,chrislusf/seaweedfs:4.00 (alpine 3.22.2),3.5.8-r0,false,not_affected,vulnerable_code_not_in_execute_path
chrislusf/seaweedfs:4.00,suseai/latest,libssl3,3.5.4-r0,alpine,CVE-2026-14456,HIGH,https://avd.aquasec.com/nvd/cve-2026-14456,chrislusf/seaweedfs:4.00 (alpine 3.22.2),3.5.8-r0,false,not_affected,vulnerable_code_not_in_execute_path
chrislusf/seaweedfs:4.00,suseai/latest,libcrypto3,3.5.4-r0,alpine,CVE-2026-18798,MEDIUM,https://avd.aquasec.com/nvd/cve-2026-18798,chrislusf/seaweedfs:4.00 (alpine 3.22.2),3.5.8-r0,false,not_affected,vulnerable_code_not_in_execute_path
