image,critical,high,total
chrislusf/seaweedfs:4.00,3,39,42
filebrowser/filebrowser:v2.63.23,0,9,9
gcr.io/knative-releases/knative.dev/eventing/cmd/apiserver_receive_adapter:v1.23.0,1,10,11
gcr.io/knative-releases/knative.dev/eventing/cmd/controller:v1.23.0,1,10,11
gcr.io/knative-releases/knative.dev/eventing/cmd/mtping:v1.23.0,1,10,11
gcr.io/knative-releases/knative.dev/eventing/cmd/webhook:v1.23.0,1,10,11
gcr.io/knative-releases/knative.dev/net-istio/cmd/controller:v1.23.0,1,7,8
gcr.io/knative-releases/knative.dev/net-istio/cmd/webhook:v1.23.0,1,7,8
gcr.io/knative-releases/knative.dev/serving/cmd/activator:v1.23.0,1,7,8
gcr.io/knative-releases/knative.dev/serving/cmd/autoscaler:v1.23.0,1,7,8
gcr.io/knative-releases/knative.dev/serving/cmd/controller:v1.23.0,1,11,12
gcr.io/knative-releases/knative.dev/serving/cmd/queue:v1.23.0,1,7,8
gcr.io/knative-releases/knative.dev/serving/cmd/webhook:v1.23.0,1,7,8
gcr.io/tfx-oss-public/ml_metadata_store_server:1.21.0,0,0,0
ghcr.io/kserve/models-web-app:1.0.1,0,11,11
ghcr.io/kubeflow/dashboard/access-management:v2.0.0,0,42,42
ghcr.io/kubeflow/dashboard/dashboard:v2.0.0,7,92,99
ghcr.io/kubeflow/dashboard/poddefaults-webhook:v2.0.0,0,15,15
ghcr.io/kubeflow/dashboard/profile-controller:v2.0.0,2,51,53
ghcr.io/kubeflow/hub/controller:v0.3.16,1,9,10
ghcr.io/kubeflow/hub/server:v0.3.16,0,6,6
ghcr.io/kubeflow/hub/storage-initializer:v0.3.16,1,8,9
ghcr.io/kubeflow/hub/ui:v0.3.16,0,6,6
ghcr.io/kubeflow/katib/earlystopping-medianstop:v0.19.0,3,36,39
ghcr.io/kubeflow/katib/enas-cnn-cifar10-cpu:v0.19.0,3,37,40
ghcr.io/kubeflow/katib/file-metrics-collector:v0.19.0,1,10,11
