image,release,package_name,package_version,type,vulnerability_id,severity,url,target,patched_version,mirrored,status,justification
longhornio/csi-attacher:v4.4.2,harvester/v1.2.2,stdlib,v1.20.5,gobinary,CVE-2024-24790,CRITICAL,https://avd.aquasec.com/nvd/cve-2024-24790,csi-attacher,"1.21.11, 1.22.4",false,affected,
longhornio/csi-attacher:v4.4.2,harvester/v1.2.2,stdlib,v1.20.5,gobinary,CVE-2023-39325,HIGH,https://avd.aquasec.com/nvd/cve-2023-39325,csi-attacher,"1.20.10, 1.21.3",false,affected,
longhornio/csi-attacher:v4.4.2,harvester/v1.2.2,stdlib,v1.20.5,gobinary,CVE-2023-45283,HIGH,https://avd.aquasec.com/nvd/cve-2023-45283,csi-attacher,"1.20.11, 1.21.4, 1.20.12, 1.21.5",false,affected,
longhornio/csi-attacher:v4.4.2,harvester/v1.2.2,stdlib,v1.20.5,gobinary,CVE-2023-45288,HIGH,https://avd.aquasec.com/nvd/cve-2023-45288,csi-attacher,"1.21.9, 1.22.2",false,affected,
longhornio/csi-attacher:v4.4.2,harvester/v1.2.2,stdlib,v1.20.5,gobinary,CVE-2024-34156,HIGH,https://avd.aquasec.com/nvd/cve-2024-34156,csi-attacher,"1.22.7, 1.23.1",false,affected,
longhornio/csi-node-driver-registrar:v2.9.2,harvester/v1.2.2,stdlib,v1.20.5,gobinary,CVE-2024-24790,CRITICAL,https://avd.aquasec.com/nvd/cve-2024-24790,csi-node-driver-registrar,"1.21.11, 1.22.4",false,affected,
longhornio/csi-node-driver-registrar:v2.9.2,harvester/v1.2.2,stdlib,v1.20.5,gobinary,CVE-2023-39325,HIGH,https://avd.aquasec.com/nvd/cve-2023-39325,csi-node-driver-registrar,"1.20.10, 1.21.3",false,affected,
longhornio/csi-node-driver-registrar:v2.9.2,harvester/v1.2.2,stdlib,v1.20.5,gobinary,CVE-2023-45283,HIGH,https://avd.aquasec.com/nvd/cve-2023-45283,csi-node-driver-registrar,"1.20.11, 1.21.4, 1.20.12, 1.21.5",false,affected,
longhornio/csi-node-driver-registrar:v2.9.2,harvester/v1.2.2,stdlib,v1.20.5,gobinary,CVE-2023-45288,HIGH,https://avd.aquasec.com/nvd/cve-2023-45288,csi-node-driver-registrar,"1.21.9, 1.22.2",false,affected,
longhornio/csi-node-driver-registrar:v2.9.2,harvester/v1.2.2,stdlib,v1.20.5,gobinary,CVE-2024-34156,HIGH,https://avd.aquasec.com/nvd/cve-2024-34156,csi-node-driver-registrar,"1.22.7, 1.23.1",false,affected,
longhornio/csi-provisioner:v3.6.2,harvester/v1.2.2,stdlib,v1.20.5,gobinary,CVE-2024-24790,CRITICAL,https://avd.aquasec.com/nvd/cve-2024-24790,csi-provisioner,"1.21.11, 1.22.4",false,affected,
longhornio/csi-provisioner:v3.6.2,harvester/v1.2.2,stdlib,v1.20.5,gobinary,CVE-2023-39325,HIGH,https://avd.aquasec.com/nvd/cve-2023-39325,csi-provisioner,"1.20.10, 1.21.3",false,affected,
longhornio/csi-provisioner:v3.6.2,harvester/v1.2.2,stdlib,v1.20.5,gobinary,CVE-2023-45283,HIGH,https://avd.aquasec.com/nvd/cve-2023-45283,csi-provisioner,"1.20.11, 1.21.4, 1.20.12, 1.21.5",false,affected,
longhornio/csi-provisioner:v3.6.2,harvester/v1.2.2,stdlib,v1.20.5,gobinary,CVE-2023-45288,HIGH,https://avd.aquasec.com/nvd/cve-2023-45288,csi-provisioner,"1.21.9, 1.22.2",false,affected,
longhornio/csi-provisioner:v3.6.2,harvester/v1.2.2,stdlib,v1.20.5,gobinary,CVE-2024-34156,HIGH,https://avd.aquasec.com/nvd/cve-2024-34156,csi-provisioner,"1.22.7, 1.23.1",false,affected,
longhornio/csi-resizer:v1.9.2,harvester/v1.2.2,stdlib,v1.20.5,gobinary,CVE-2024-24790,CRITICAL,https://avd.aquasec.com/nvd/cve-2024-24790,csi-resizer,"1.21.11, 1.22.4",false,affected,
longhornio/csi-resizer:v1.9.2,harvester/v1.2.2,stdlib,v1.20.5,gobinary,CVE-2023-39325,HIGH,https://avd.aquasec.com/nvd/cve-2023-39325,csi-resizer,"1.20.10, 1.21.3",false,affected,
longhornio/csi-resizer:v1.9.2,harvester/v1.2.2,stdlib,v1.20.5,gobinary,CVE-2023-45283,HIGH,https://avd.aquasec.com/nvd/cve-2023-45283,csi-resizer,"1.20.11, 1.21.4, 1.20.12, 1.21.5",false,affected,
longhornio/csi-resizer:v1.9.2,harvester/v1.2.2,stdlib,v1.20.5,gobinary,CVE-2023-45288,HIGH,https://avd.aquasec.com/nvd/cve-2023-45288,csi-resizer,"1.21.9, 1.22.2",false,affected,
longhornio/csi-resizer:v1.9.2,harvester/v1.2.2,stdlib,v1.20.5,gobinary,CVE-2024-34156,HIGH,https://avd.aquasec.com/nvd/cve-2024-34156,csi-resizer,"1.22.7, 1.23.1",false,affected,
longhornio/csi-snapshotter:v6.3.2,harvester/v1.2.2,stdlib,v1.20.5,gobinary,CVE-2024-24790,CRITICAL,https://avd.aquasec.com/nvd/cve-2024-24790,csi-snapshotter,"1.21.11, 1.22.4",false,affected,
longhornio/csi-snapshotter:v6.3.2,harvester/v1.2.2,stdlib,v1.20.5,gobinary,CVE-2023-39325,HIGH,https://avd.aquasec.com/nvd/cve-2023-39325,csi-snapshotter,"1.20.10, 1.21.3",false,affected,
longhornio/csi-snapshotter:v6.3.2,harvester/v1.2.2,stdlib,v1.20.5,gobinary,CVE-2023-45283,HIGH,https://avd.aquasec.com/nvd/cve-2023-45283,csi-snapshotter,"1.20.11, 1.21.4, 1.20.12, 1.21.5",false,affected,
longhornio/csi-snapshotter:v6.3.2,harvester/v1.2.2,stdlib,v1.20.5,gobinary,CVE-2023-45288,HIGH,https://avd.aquasec.com/nvd/cve-2023-45288,csi-snapshotter,"1.21.9, 1.22.2",false,affected,
longhornio/csi-snapshotter:v6.3.2,harvester/v1.2.2,stdlib,v1.20.5,gobinary,CVE-2024-34156,HIGH,https://avd.aquasec.com/nvd/cve-2024-34156,csi-snapshotter,"1.22.7, 1.23.1",false,affected,
longhornio/livenessprobe:v2.12.0,harvester/v1.2.2,stdlib,v1.21.5,gobinary,CVE-2024-24790,CRITICAL,https://avd.aquasec.com/nvd/cve-2024-24790,livenessprobe,"1.21.11, 1.22.4",false,affected,
longhornio/livenessprobe:v2.12.0,harvester/v1.2.2,stdlib,v1.21.5,gobinary,CVE-2023-45288,HIGH,https://avd.aquasec.com/nvd/cve-2023-45288,livenessprobe,"1.21.9, 1.22.2",false,affected,
longhornio/livenessprobe:v2.12.0,harvester/v1.2.2,stdlib,v1.21.5,gobinary,CVE-2024-34156,HIGH,https://avd.aquasec.com/nvd/cve-2024-34156,livenessprobe,"1.22.7, 1.23.1",false,affected,
longhornio/longhorn-engine:v1.5.5,harvester/v1.2.2,glibc,2.31-150300.71.1,suse linux enterprise server,SUSE-SU-2024:1375-1,HIGH,,longhornio/longhorn-engine:v1.5.5 (suse linux enterprise server 15.5),2.31-150300.74.1,false,affected,
longhornio/longhorn-engine:v1.5.5,harvester/v1.2.2,glibc,2.31-150300.71.1,suse linux enterprise server,SUSE-SU-2024:1895-1,HIGH,,longhornio/longhorn-engine:v1.5.5 (suse linux enterprise server 15.5),2.31-150300.83.1,false,affected,
longhornio/longhorn-engine:v1.5.5,harvester/v1.2.2,krb5,1.20.1-150500.3.6.1,suse linux enterprise server,SUSE-SU-2024:2302-1,HIGH,,longhornio/longhorn-engine:v1.5.5 (suse linux enterprise server 15.5),1.20.1-150500.3.9.1,false,affected,
longhornio/longhorn-engine:v1.5.5,harvester/v1.2.2,libopenssl1_1,1.1.1l-150500.17.25.1,suse linux enterprise server,SUSE-SU-2024:2051-1,HIGH,,longhornio/longhorn-engine:v1.5.5 (suse linux enterprise server 15.5),1.1.1l-150500.17.31.1,false,affected,
