image,critical,high,total
rancher/aks-operator:v1.1.5,1,2,3
rancher/backup-restore-operator:v3.1.4,1,3,4
rancher/calico-cni:v3.26.3-rancher1,11,71,82
rancher/cis-operator:v1.0.14-rc4,0,1,1
rancher/eks-operator:v1.2.4,1,2,3
rancher/externalip-webhook:v1.0.1,4,54,58
rancher/flannel-cni:v0.3.0-rancher6,0,0,0
rancher/fleet-agent:v0.8.6,0,2,2
rancher/fleet:v0.8.6,0,1,1
rancher/gitjob:v0.8.13,0,1,1
rancher/gke-operator:v1.1.8,1,2,3
rancher/hardened-addon-resizer:1.8.20-build20240410,1,2,3
rancher/hardened-calico:v3.28.1-build20240806,19,55,74
rancher/hardened-cluster-autoscaler:v1.8.10-build20240124,1,4,5
rancher/hardened-cni-plugins:v1.5.1-build20240805,19,38,57
rancher/hardened-coredns:v1.11.1-build20240305,1,7,8
rancher/hardened-dns-node-cache:1.22.28-build20240125,1,8,9
rancher/hardened-etcd:v3.5.13-k3s1-build20240531,2,8,10
rancher/hardened-flannel:v0.25.5-build20240801,0,10,10
rancher/hardened-ib-sriov-cni:v1.0.3-build20240327,1,16,17
rancher/hardened-k8s-metrics-server:v0.7.1-build20240401,1,2,3
rancher/hardened-kubernetes:v1.27.16-rke2r2-build20240819,0,7,7
rancher/hardened-multus-cni:v4.0.2-build20240612,2,4,6
rancher/hardened-node-feature-discovery:v0.13.2-build20230605,10,64,74
rancher/hardened-node-feature-discovery:v0.15.4-build20240513,6,15,21
rancher/hardened-sriov-cni:v2.7.0-build20240327,1,16,17
rancher/hardened-sriov-network-config-daemon:v1.2.0-build20240327,1,17,18
rancher/hardened-sriov-network-device-plugin:v3.6.2-build20240327,1,18,19
rancher/hardened-sriov-network-operator:v1.2.0-build20240327,1,17,18
rancher/hardened-sriov-network-resources-injector:v1.5-build20240327,2,18,20
rancher/hardened-sriov-network-webhook:v1.2.0-build20240327,1,17,18
rancher/hardened-whereabouts:v0.7.0-build20240429,2,3,5
rancher/harvester-cloud-provider:v0.1.4,3,40,43
rancher/harvester-cloud-provider:v0.1.5,3,38,41
rancher/harvester-cloud-provider:v0.2.0,1,21,22
rancher/harvester-cloud-provider:v0.2.1,1,8,9
rancher/harvester-csi-driver:v0.1.3,5,60,65
rancher/harvester-csi-driver:v0.1.4,3,91,94
rancher/harvester-csi-driver:v0.1.5,3,71,74
rancher/harvester-csi-driver:v0.1.6,3,51,54
rancher/harvester-csi-driver:v0.1.7,0,5,5
rancher/helm-project-operator:v0.2.1,1,17,18
rancher/hyperkube:v1.27.16-rancher1,1,6,7
rancher/istio-installer:1.19.6-rancher1,3,23,26
rancher/k3s-upgrade:v1.27.16-k3s1,0,5,5
rancher/klipper-helm:v0.8.4-build20240523,14,99,113
rancher/klipper-lb:v0.4.9,0,0,0
rancher/kube-api-auth:v0.2.1,1,4,5
rancher/kubectl:v1.20.2,4,43,47
rancher/kubectl:v1.21.5,4,38,42
rancher/kubectl:v1.22.6,4,35,39
rancher/kubectl:v1.23.3,4,35,39
rancher/kubectl:v1.27.11,1,2,3
rancher/kubectl:v1.28.12,0,1,1
rancher/local-path-provisioner:v0.0.28,1,2,3
rancher/longhornio-csi-attacher:v3.2.1,4,52,56
rancher/longhornio-csi-node-driver-registrar:v2.3.0,4,49,53
rancher/longhornio-csi-provisioner:v2.1.2,4,57,61
rancher/longhornio-csi-resizer:v1.2.0,4,52,56
rancher/machine:v0.15.0-rancher109-patch1,1,33,34
rancher/mirrored-amazon-aws-cli:2.9.14,2,131,133
rancher/mirrored-appscode-kubed:v0.13.2,4,33,37
rancher/mirrored-banzaicloud-fluentd:v1.14.6-alpine-5,0,0,0
rancher/mirrored-banzaicloud-logging-operator:3.17.10,3,28,31
rancher/mirrored-bci-busybox:15.4.11.2,0,4,4
rancher/mirrored-bci-micro:15.4.14.3,0,8,8
rancher/mirrored-calico-apiserver:v3.26.3,2,13,15
rancher/mirrored-calico-apiserver:v3.27.0,2,4,6
rancher/mirrored-calico-apiserver:v3.27.2,2,4,6
rancher/mirrored-calico-apiserver:v3.27.3,2,4,6
rancher/mirrored-calico-cni:v3.26.3,9,42,51
rancher/mirrored-calico-cni:v3.27.0,9,18,27
rancher/mirrored-calico-cni:v3.27.2,9,18,27
rancher/mirrored-calico-cni:v3.27.3,9,18,27
rancher/mirrored-calico-csi:v3.27.2,1,2,3
rancher/mirrored-calico-csi:v3.27.3,1,2,3
rancher/mirrored-calico-ctl:v3.26.3,1,6,7
rancher/mirrored-calico-ctl:v3.27.0,1,2,3
rancher/mirrored-calico-ctl:v3.27.2,1,2,3
rancher/mirrored-calico-ctl:v3.27.3,1,2,3
rancher/mirrored-calico-kube-controllers:v3.26.3,2,11,13
rancher/mirrored-calico-kube-controllers:v3.27.0,2,4,6
rancher/mirrored-calico-kube-controllers:v3.27.2,2,4,6
rancher/mirrored-calico-kube-controllers:v3.27.3,2,4,6
rancher/mirrored-calico-node-driver-registrar:v3.27.2,1,2,3
rancher/mirrored-calico-node-driver-registrar:v3.27.3,1,2,3
rancher/mirrored-calico-node:v3.26.3,2,21,23
rancher/mirrored-calico-node:v3.27.0,2,10,12
rancher/mirrored-calico-node:v3.27.2,2,10,12
rancher/mirrored-calico-node:v3.27.3,2,10,12
rancher/mirrored-calico-operator:v1.30.7,1,5,6
rancher/mirrored-calico-operator:v1.32.3,1,2,3
rancher/mirrored-calico-operator:v1.32.5,1,2,3
rancher/mirrored-calico-operator:v1.32.7,1,2,3
rancher/mirrored-calico-pod2daemon-flexvol:v3.22.5,3,34,37
rancher/mirrored-calico-pod2daemon-flexvol:v3.23.1,3,33,36
